CRC_err,Fifo_data[0],Fifo_data[1],Fifo_data[2],Fifo_data[3],Fifo_data[4],Fifo_data[5],Fifo_data[6],Fifo_data[7],Clk,MAC_rx_add_chk_err,Fifo_full,MRxD[0],MRxD[1],MRxD[2],MRxD[3],MRxD[4],MRxD[5],MRxD[6],MRxD[7],MCrs_dv,RX_IFG_SET[0],RX_IFG_SET[1],RX_IFG_SET[2],RX_IFG_SET[3],RX_IFG_SET[4],RX_IFG_SET[5],MRxErr,RX_MIN_LENGTH[0],RX_MIN_LENGTH[1],RX_MIN_LENGTH[2],RX_MIN_LENGTH[3],RX_MIN_LENGTH[4],RX_MIN_LENGTH[5],RX_MIN_LENGTH[6],RX_MAX_LENGTH[0],RX_MAX_LENGTH[1],RX_MAX_LENGTH[2],RX_MAX_LENGTH[3],RX_MAX_LENGTH[4],RX_MAX_LENGTH[5],RX_MAX_LENGTH[6],RX_MAX_LENGTH[7],RX_MAX_LENGTH[8],RX_MAX_LENGTH[9],RX_MAX_LENGTH[10],RX_MAX_LENGTH[11],RX_MAX_LENGTH[12],RX_MAX_LENGTH[13],RX_MAX_LENGTH[14],RX_MAX_LENGTH[15],broadcast_drop,Reset,Rx_pkt_length_rmon[0],Rx_pkt_length_rmon[1],Rx_pkt_length_rmon[2],Rx_pkt_length_rmon[3],Rx_pkt_length_rmon[4],Rx_pkt_length_rmon[5],Rx_pkt_length_rmon[6],Rx_pkt_length_rmon[7],Rx_pkt_length_rmon[8],Rx_pkt_length_rmon[9],Rx_pkt_length_rmon[10],Rx_pkt_length_rmon[11],Rx_pkt_length_rmon[12],Rx_pkt_length_rmon[13],Rx_pkt_length_rmon[14],Rx_pkt_length_rmon[15],CRC_init,CRC_en,Current_state[0],Current_state[1],Current_state[2],Current_state[3],Crs_dv,Fifo_data_end,Fifo_data_en,Frame_length_counter[0],Frame_length_counter[1],Frame_length_counter[2],Frame_length_counter[3],Frame_length_counter[4],Frame_length_counter[5],Frame_length_counter[6],Frame_length_counter[7],Frame_length_counter[8],Frame_length_counter[9],Frame_length_counter[10],Frame_length_counter[11],Frame_length_counter[12],Frame_length_counter[13],Frame_length_counter[14],Frame_length_counter[15],Fifo_data_err,MAC_add_en,IFG_counter[0],IFG_counter[1],IFG_counter[2],IFG_counter[3],IFG_counter[4],IFG_counter[5],Pause_current[0],Pause_current[1],Pause_current[2],Pause_current[3],Next_state[0],Next_state[1],Next_state[2],Next_state[3],RxD[0],RxD[1],RxD[2],RxD[3],RxD[4],RxD[5],RxD[6],RxD[7],Pause_next[0],Pause_next[1],Pause_next[2],Pause_next[3],RxErr,RxD_dl1[0],RxD_dl1[1],RxD_dl1[2],RxD_dl1[3],RxD_dl1[4],RxD_dl1[5],RxD_dl1[6],RxD_dl1[7],Rx_apply_rmon_tmp,Rx_apply_rmon,Rx_pkt_err_type_rmon[0],Rx_pkt_err_type_rmon[1],Rx_pkt_err_type_rmon[2],Rx_apply_rmon_tmp_pl1,Too_long,Rx_pkt_type_rmon[0],Rx_pkt_type_rmon[1],Rx_pkt_type_rmon[2],broadcast_ptr,Too_short,pause_quanta[0],pause_quanta[1],pause_quanta[2],pause_quanta[3],pause_quanta[4],pause_quanta[5],pause_quanta[6],pause_quanta[7],pause_quanta[8],pause_quanta[9],pause_quanta[10],pause_quanta[11],pause_quanta[12],pause_quanta[13],pause_quanta[14],pause_quanta[15],pause_frame_ptr,pause_quanta_val,pause_quanta_h[0],pause_quanta_h[1],pause_quanta_h[2],pause_quanta_h[3],pause_quanta_h[4],pause_quanta_h[5],pause_quanta_h[6],pause_quanta_h[7],pause_quanta_val_tmp,[1]CRC_err,[1]Fifo_data[0],[1]Fifo_data[1],[1]Fifo_data[2],[1]Fifo_data[3],[1]Fifo_data[4],[1]Fifo_data[5],[1]Fifo_data[6],[1]Fifo_data[7],[1]Clk,[1]MAC_rx_add_chk_err,[1]Fifo_full,[1]MRxD[0],[1]MRxD[1],[1]MRxD[2],[1]MRxD[3],[1]MRxD[4],[1]MRxD[5],[1]MRxD[6],[1]MRxD[7],[1]MCrs_dv,[1]RX_IFG_SET[0],[1]RX_IFG_SET[1],[1]RX_IFG_SET[2],[1]RX_IFG_SET[3],[1]RX_IFG_SET[4],[1]RX_IFG_SET[5],[1]MRxErr,[1]RX_MIN_LENGTH[0],[1]RX_MIN_LENGTH[1],[1]RX_MIN_LENGTH[2],[1]RX_MIN_LENGTH[3],[1]RX_MIN_LENGTH[4],[1]RX_MIN_LENGTH[5],[1]RX_MIN_LENGTH[6],[1]RX_MAX_LENGTH[0],[1]RX_MAX_LENGTH[1],[1]RX_MAX_LENGTH[2],[1]RX_MAX_LENGTH[3],[1]RX_MAX_LENGTH[4],[1]RX_MAX_LENGTH[5],[1]RX_MAX_LENGTH[6],[1]RX_MAX_LENGTH[7],[1]RX_MAX_LENGTH[8],[1]RX_MAX_LENGTH[9],[1]RX_MAX_LENGTH[10],[1]RX_MAX_LENGTH[11],[1]RX_MAX_LENGTH[12],[1]RX_MAX_LENGTH[13],[1]RX_MAX_LENGTH[14],[1]RX_MAX_LENGTH[15],[1]broadcast_drop,[1]Reset,[1]Rx_pkt_length_rmon[0],[1]Rx_pkt_length_rmon[1],[1]Rx_pkt_length_rmon[2],[1]Rx_pkt_length_rmon[3],[1]Rx_pkt_length_rmon[4],[1]Rx_pkt_length_rmon[5],[1]Rx_pkt_length_rmon[6],[1]Rx_pkt_length_rmon[7],[1]Rx_pkt_length_rmon[8],[1]Rx_pkt_length_rmon[9],[1]Rx_pkt_length_rmon[10],[1]Rx_pkt_length_rmon[11],[1]Rx_pkt_length_rmon[12],[1]Rx_pkt_length_rmon[13],[1]Rx_pkt_length_rmon[14],[1]Rx_pkt_length_rmon[15],[1]CRC_init,[1]CRC_en,[1]Current_state[0],[1]Current_state[1],[1]Current_state[2],[1]Current_state[3],[1]Crs_dv,[1]Fifo_data_end,[1]Fifo_data_en,[1]Frame_length_counter[0],[1]Frame_length_counter[1],[1]Frame_length_counter[2],[1]Frame_length_counter[3],[1]Frame_length_counter[4],[1]Frame_length_counter[5],[1]Frame_length_counter[6],[1]Frame_length_counter[7],[1]Frame_length_counter[8],[1]Frame_length_counter[9],[1]Frame_length_counter[10],[1]Frame_length_counter[11],[1]Frame_length_counter[12],[1]Frame_length_counter[13],[1]Frame_length_counter[14],[1]Frame_length_counter[15],[1]Fifo_data_err,[1]MAC_add_en,[1]IFG_counter[0],[1]IFG_counter[1],[1]IFG_counter[2],[1]IFG_counter[3],[1]IFG_counter[4],[1]IFG_counter[5],[1]Pause_current[0],[1]Pause_current[1],[1]Pause_current[2],[1]Pause_current[3],[1]Next_state[0],[1]Next_state[1],[1]Next_state[2],[1]Next_state[3],[1]RxD[0],[1]RxD[1],[1]RxD[2],[1]RxD[3],[1]RxD[4],[1]RxD[5],[1]RxD[6],[1]RxD[7],[1]Pause_next[0],[1]Pause_next[1],[1]Pause_next[2],[1]Pause_next[3],[1]RxErr,[1]RxD_dl1[0],[1]RxD_dl1[1],[1]RxD_dl1[2],[1]RxD_dl1[3],[1]RxD_dl1[4],[1]RxD_dl1[5],[1]RxD_dl1[6],[1]RxD_dl1[7],[1]Rx_apply_rmon_tmp,[1]Rx_apply_rmon,[1]Rx_pkt_err_type_rmon[0],[1]Rx_pkt_err_type_rmon[1],[1]Rx_pkt_err_type_rmon[2],[1]Rx_apply_rmon_tmp_pl1,[1]Too_long,[1]Rx_pkt_type_rmon[0],[1]Rx_pkt_type_rmon[1],[1]Rx_pkt_type_rmon[2],[1]broadcast_ptr,[1]Too_short,[1]pause_quanta[0],[1]pause_quanta[1],[1]pause_quanta[2],[1]pause_quanta[3],[1]pause_quanta[4],[1]pause_quanta[5],[1]pause_quanta[6],[1]pause_quanta[7],[1]pause_quanta[8],[1]pause_quanta[9],[1]pause_quanta[10],[1]pause_quanta[11],[1]pause_quanta[12],[1]pause_quanta[13],[1]pause_quanta[14],[1]pause_quanta[15],[1]pause_frame_ptr,[1]pause_quanta_val,[1]pause_quanta_h[0],[1]pause_quanta_h[1],[1]pause_quanta_h[2],[1]pause_quanta_h[3],[1]pause_quanta_h[4],[1]pause_quanta_h[5],[1]pause_quanta_h[6],[1]pause_quanta_h[7],[1]pause_quanta_val_tmp
1,0,2,2,2,2,2,2,2,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,1,1,0,1,0,0,1,1,0,1,1,0,1,1,1,0,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,2,2,2,1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,2,2,2,2,2,0,2,2,2,0,2,2,2,0,1,0,0,1,2,2,2,0,2,2,2,1,0,2,2,2,2,2,2,2,0,0,0,2,2,0,0,0,2,2,0,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,2,2,2,2,2,2,2,0,1,0,2,2,2,2,2,2,2,0,1,1,0,1,0,0,1,2,2,2,1,1,0,0,1,2,2,1,1,2,2,2,2,2,2,0,0,1,0,0,1,0,0,1,0,1,0,1,1,2,2,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,2,2,2,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,2,2,2,2,2,0,2,2,2,0,2,2,2,0,2,2,2,2,2,2,2,0,2,2,2,0,0,2,2,2,2,2,2,2,0,0,0,2,2,0,0,0,2,2,0,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,2,2,2,2,2,2,2,0
0,0,1,0,0,1,2,2,2,0,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0,1,1,0,1,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,2,2,2,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,2,2,2,2,2,0,2,2,2,0,2,2,2,0,1,0,1,0,1,0,1,0,2,2,2,1,0,1,0,0,1,2,2,2,0,0,0,2,2,0,0,0,2,2,0,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,2,2,2,2,2,2,2,0,1,0,2,2,2,2,2,2,2,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,1,1,0,1,0,0,1,1,0,1,1,0,1,1,1,0,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,2,2,2,1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,2,2,2,2,2,0,2,2,2,0,2,2,2,0,1,0,0,1,2,2,2,0,2,2,2,1,0,2,2,2,2,2,2,2,0,0,0,2,2,0,0,0,2,2,0,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,2,2,2,2,2,2,2,0
0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0,1,0,1,1,0,1,1,1,1,0,0,0,1,1,0,0,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,2,2,2,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,2,2,2,2,2,0,2,2,2,0,2,2,2,1,0,1,1,1,1,0,1,0,2,2,2,0,0,1,0,1,0,1,0,1,0,0,0,2,2,0,0,0,2,2,0,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,2,2,2,2,2,2,2,0,0,0,1,0,0,1,2,2,2,0,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0,1,1,0,1,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,2,2,2,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,2,2,2,2,2,0,2,2,2,0,2,2,2,0,1,0,1,0,1,0,1,0,2,2,2,1,0,1,0,0,1,2,2,2,0,0,0,2,2,0,0,0,2,2,0,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,2,2,2,2,2,2,2,0
1,1,0,1,1,1,1,0,1,0,1,1,0,1,0,1,1,1,0,1,0,0,1,0,0,1,1,1,0,1,0,1,0,0,1,1,1,0,1,0,1,1,0,1,0,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,2,2,2,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,2,2,2,2,2,0,2,2,2,0,2,2,2,1,1,0,0,1,1,0,1,0,2,2,2,0,1,0,1,1,1,1,0,1,0,0,0,2,2,0,0,0,2,2,0,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,2,2,2,2,2,2,2,0,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0,1,0,1,1,0,1,1,1,1,0,0,0,1,1,0,0,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,2,2,2,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,2,2,2,2,2,0,2,2,2,0,2,2,2,1,0,1,1,1,1,0,1,0,2,2,2,0,0,1,0,1,0,1,0,1,0,0,0,2,2,0,0,0,2,2,0,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,2,2,2,2,2,2,2,0
0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,1,0,1,0,1,1,0,0,1,1,1,0,1,1,0,0,0,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,2,2,2,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,2,2,2,2,2,0,2,2,2,0,2,2,2,0,1,0,1,1,1,0,1,0,2,2,2,1,1,1,0,0,1,1,0,1,0,0,0,2,2,0,0,0,2,2,0,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,2,2,2,2,2,2,2,0,1,1,0,1,1,1,1,0,1,0,1,1,0,1,0,1,1,1,0,1,0,0,1,0,0,1,1,1,0,1,0,1,0,0,1,1,1,0,1,0,1,1,0,1,0,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,2,2,2,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,2,2,2,2,2,0,2,2,2,0,2,2,2,1,1,0,0,1,1,0,1,0,2,2,2,0,1,0,1,1,1,1,0,1,0,0,0,2,2,0,0,0,2,2,0,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,2,2,2,2,2,2,2,0
1,0,1,0,1,1,1,0,1,0,1,0,0,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,2,2,2,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,2,2,2,2,2,0,2,2,2,0,2,2,2,0,1,1,0,1,1,0,1,0,2,2,2,1,0,1,0,1,1,1,0,1,0,0,0,2,2,0,0,0,2,2,0,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,2,2,2,2,2,2,2,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,1,0,1,0,1,1,0,0,1,1,1,0,1,1,0,0,0,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,2,2,2,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,2,2,2,2,2,0,2,2,2,0,2,2,2,0,1,0,1,1,1,0,1,0,2,2,2,1,1,1,0,0,1,1,0,1,0,0,0,2,2,0,0,0,2,2,0,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,2,2,2,2,2,2,2,0
1,0,1,1,0,1,1,0,1,0,1,1,1,1,1,0,1,1,0,1,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,2,2,2,1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,2,2,2,2,2,0,2,2,2,0,2,2,2,0,1,0,1,1,1,0,1,0,2,2,2,1,0,1,1,0,1,1,0,1,0,0,0,2,2,0,0,0,2,2,0,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,2,2,2,2,2,2,2,0,1,0,1,0,1,1,1,0,1,0,1,0,0,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,2,2,2,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,2,2,2,2,2,0,2,2,2,0,2,2,2,0,1,1,0,1,1,0,1,0,2,2,2,1,0,1,0,1,1,1,0,1,0,0,0,2,2,0,0,0,2,2,0,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,2,2,2,2,2,2,2,0
1,0,1,0,1,1,1,0,1,0,1,1,0,0,1,1,1,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,2,2,2,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,2,2,2,2,2,0,2,2,2,0,2,2,2,1,1,1,0,1,1,0,1,0,2,2,2,0,0,1,0,1,1,1,0,1,0,0,0,2,2,0,0,0,2,2,0,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,2,2,2,2,2,2,2,0,1,0,1,1,0,1,1,0,1,0,1,1,1,1,1,0,1,1,0,1,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,2,2,2,1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,2,2,2,2,2,0,2,2,2,0,2,2,2,0,1,0,1,1,1,0,1,0,2,2,2,1,0,1,1,0,1,1,0,1,0,0,0,2,2,0,0,0,2,2,0,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,2,2,2,2,2,2,2,0
1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,0,1,0,1,1,0,0,1,0,0,1,1,1,1,0,1,0,0,0,1,1,1,1,0,1,1,1,0,0,1,0,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,2,2,2,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,2,2,2,2,2,0,2,2,2,0,2,2,2,0,0,1,1,1,1,0,1,0,2,2,2,0,1,1,1,0,1,1,0,1,0,0,0,2,2,0,0,0,2,2,0,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,2,2,2,2,2,2,2,0,1,0,1,0,1,1,1,0,1,0,1,1,0,0,1,1,1,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,2,2,2,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,2,2,2,2,2,0,2,2,2,0,2,2,2,1,1,1,0,1,1,0,1,0,2,2,2,0,0,1,0,1,1,1,0,1,0,0,0,2,2,0,0,0,2,2,0,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,2,2,2,2,2,2,2,0
0,0,0,1,1,1,1,0,1,0,0,1,0,0,1,1,1,0,0,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,0,1,1,0,1,0,1,0,0,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,2,2,2,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,2,2,2,2,2,0,2,2,2,0,2,2,2,1,1,0,0,1,0,1,1,0,2,2,2,1,0,0,1,1,1,1,0,1,0,0,0,2,2,0,0,0,2,2,0,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,2,2,2,2,2,2,2,0,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,0,1,0,1,1,0,0,1,0,0,1,1,1,1,0,1,0,0,0,1,1,1,1,0,1,1,1,0,0,1,0,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,2,2,2,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,2,2,2,2,2,0,2,2,2,0,2,2,2,0,0,1,1,1,1,0,1,0,2,2,2,0,1,1,1,0,1,1,0,1,0,0,0,2,2,0,0,0,2,2,0,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,2,2,2,2,2,2,2,0
