BYTES_AVAIL[0],BYTES_AVAIL[1],BYTES_AVAIL[2],BYTES_AVAIL[3],DATA_IN[0],DATA_IN[1],DATA_IN[2],DATA_IN[3],DATA_IN[4],DATA_IN[5],DATA_IN[6],DATA_IN[7],CLK,PUSH_POPn,EN,push_ok,RST,BYTES_FREE[0],BYTES_FREE[1],BYTES_FREE[2],BYTES_FREE[3],pop_ok,counter[0],counter[1],counter[2],counter[3],DATA_OUT[0],DATA_OUT[1],DATA_OUT[2],DATA_OUT[3],DATA_OUT[4],DATA_OUT[5],DATA_OUT[6],DATA_OUT[7],reg1[0],reg1[1],reg1[2],reg1[3],reg1[4],reg1[5],reg1[6],reg1[7],reg0[0],reg0[1],reg0[2],reg0[3],reg0[4],reg0[5],reg0[6],reg0[7],reg3[0],reg3[1],reg3[2],reg3[3],reg3[4],reg3[5],reg3[6],reg3[7],reg2[0],reg2[1],reg2[2],reg2[3],reg2[4],reg2[5],reg2[6],reg2[7],reg5[0],reg5[1],reg5[2],reg5[3],reg5[4],reg5[5],reg5[6],reg5[7],reg4[0],reg4[1],reg4[2],reg4[3],reg4[4],reg4[5],reg4[6],reg4[7],reg7[0],reg7[1],reg7[2],reg7[3],reg7[4],reg7[5],reg7[6],reg7[7],reg6[0],reg6[1],reg6[2],reg6[3],reg6[4],reg6[5],reg6[6],reg6[7],[1]BYTES_AVAIL[0],[1]BYTES_AVAIL[1],[1]BYTES_AVAIL[2],[1]BYTES_AVAIL[3],[1]DATA_IN[0],[1]DATA_IN[1],[1]DATA_IN[2],[1]DATA_IN[3],[1]DATA_IN[4],[1]DATA_IN[5],[1]DATA_IN[6],[1]DATA_IN[7],[1]CLK,[1]PUSH_POPn,[1]EN,[1]push_ok,[1]RST,[1]BYTES_FREE[0],[1]BYTES_FREE[1],[1]BYTES_FREE[2],[1]BYTES_FREE[3],[1]pop_ok,[1]counter[0],[1]counter[1],[1]counter[2],[1]counter[3],[1]DATA_OUT[0],[1]DATA_OUT[1],[1]DATA_OUT[2],[1]DATA_OUT[3],[1]DATA_OUT[4],[1]DATA_OUT[5],[1]DATA_OUT[6],[1]DATA_OUT[7],[1]reg1[0],[1]reg1[1],[1]reg1[2],[1]reg1[3],[1]reg1[4],[1]reg1[5],[1]reg1[6],[1]reg1[7],[1]reg0[0],[1]reg0[1],[1]reg0[2],[1]reg0[3],[1]reg0[4],[1]reg0[5],[1]reg0[6],[1]reg0[7],[1]reg3[0],[1]reg3[1],[1]reg3[2],[1]reg3[3],[1]reg3[4],[1]reg3[5],[1]reg3[6],[1]reg3[7],[1]reg2[0],[1]reg2[1],[1]reg2[2],[1]reg2[3],[1]reg2[4],[1]reg2[5],[1]reg2[6],[1]reg2[7],[1]reg5[0],[1]reg5[1],[1]reg5[2],[1]reg5[3],[1]reg5[4],[1]reg5[5],[1]reg5[6],[1]reg5[7],[1]reg4[0],[1]reg4[1],[1]reg4[2],[1]reg4[3],[1]reg4[4],[1]reg4[5],[1]reg4[6],[1]reg4[7],[1]reg7[0],[1]reg7[1],[1]reg7[2],[1]reg7[3],[1]reg7[4],[1]reg7[5],[1]reg7[6],[1]reg7[7],[1]reg6[0],[1]reg6[1],[1]reg6[2],[1]reg6[3],[1]reg6[4],[1]reg6[5],[1]reg6[6],[1]reg6[7]
0,2,2,2,1,0,1,1,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,2,2,2,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0,2,2,2,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,2,2,2,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2
1,2,2,2,0,1,0,0,1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,2,2,2,1,0,1,1,2,2,2,2,0,2,2,2,2,2,2,2,1,0,1,1,2,2,2,2,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0,2,2,2,1,0,1,1,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,2,2,2,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2
0,1,2,2,0,1,1,0,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,1,2,2,1,0,1,1,2,2,2,2,1,0,1,1,2,2,2,2,0,1,0,0,1,2,2,2,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,1,2,2,2,0,1,0,0,1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,2,2,2,1,0,1,1,2,2,2,2,0,2,2,2,2,2,2,2,1,0,1,1,2,2,2,2,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2
1,1,2,2,0,0,1,1,0,0,0,1,0,1,1,1,0,1,0,1,1,1,1,1,2,2,1,0,1,1,2,2,2,2,0,1,0,0,1,2,2,2,0,1,1,0,1,1,1,2,0,2,2,2,2,2,2,2,1,0,1,1,2,2,2,2,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0,1,2,2,0,1,1,0,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,1,2,2,1,0,1,1,2,2,2,2,1,0,1,1,2,2,2,2,0,1,0,0,1,2,2,2,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2
0,0,1,2,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0,1,2,1,0,1,1,2,2,2,2,0,1,1,0,1,1,1,2,0,0,1,1,0,0,0,1,1,0,1,1,2,2,2,2,0,1,0,0,1,2,2,2,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,1,1,2,2,0,0,1,1,0,0,0,1,0,1,1,1,0,1,0,1,1,1,1,1,2,2,1,0,1,1,2,2,2,2,0,1,0,0,1,2,2,2,0,1,1,0,1,1,1,2,0,2,2,2,2,2,2,2,1,0,1,1,2,2,2,2,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2
0,0,1,2,1,1,1,0,1,1,1,1,0,1,0,1,0,0,0,1,1,1,0,0,1,2,1,0,1,1,2,2,2,2,0,1,1,0,1,1,1,2,0,0,1,1,0,0,0,1,1,0,1,1,2,2,2,2,0,1,0,0,1,2,2,2,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0,0,1,2,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0,1,2,1,0,1,1,2,2,2,2,0,1,1,0,1,1,1,2,0,0,1,1,0,0,0,1,1,0,1,1,2,2,2,2,0,1,0,0,1,2,2,2,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2
0,0,1,2,0,1,0,0,1,1,1,1,0,1,0,1,0,0,0,1,1,1,0,0,1,2,1,0,1,1,2,2,2,2,0,1,1,0,1,1,1,2,0,0,1,1,0,0,0,1,1,0,1,1,2,2,2,2,0,1,0,0,1,2,2,2,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0,0,1,2,1,1,1,0,1,1,1,1,0,1,0,1,0,0,0,1,1,1,0,0,1,2,1,0,1,1,2,2,2,2,0,1,1,0,1,1,1,2,0,0,1,1,0,0,0,1,1,0,1,1,2,2,2,2,0,1,0,0,1,2,2,2,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2
0,0,1,2,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0,1,2,1,0,1,1,2,2,2,2,0,1,1,0,1,1,1,2,0,0,1,1,0,0,0,1,1,0,1,1,2,2,2,2,0,1,0,0,1,2,2,2,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0,0,1,2,0,1,0,0,1,1,1,1,0,1,0,1,0,0,0,1,1,1,0,0,1,2,1,0,1,1,2,2,2,2,0,1,1,0,1,1,1,2,0,0,1,1,0,0,0,1,1,0,1,1,2,2,2,2,0,1,0,0,1,2,2,2,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2
0,0,1,2,1,0,1,1,0,1,1,1,0,1,1,1,0,0,0,1,1,1,0,0,1,2,1,0,1,1,2,2,2,2,0,1,1,0,1,1,1,2,0,0,1,1,0,0,0,1,1,0,1,1,2,2,2,2,0,1,0,0,1,2,2,2,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0,0,1,2,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0,1,2,1,0,1,1,2,2,2,2,0,1,1,0,1,1,1,2,0,0,1,1,0,0,0,1,1,0,1,1,2,2,2,2,0,1,0,0,1,2,2,2,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2
1,0,1,2,0,1,0,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1,1,0,1,2,1,0,1,1,2,2,2,2,0,0,1,1,0,0,0,1,1,0,1,1,0,1,0,1,0,1,0,0,1,2,2,2,0,1,1,0,1,1,1,2,0,2,2,2,2,2,2,2,1,0,1,1,2,2,2,2,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0,0,1,2,1,0,1,1,0,1,1,1,0,1,1,1,0,0,0,1,1,1,0,0,1,2,1,0,1,1,2,2,2,2,0,1,1,0,1,1,1,2,0,0,1,1,0,0,0,1,1,0,1,1,2,2,2,2,0,1,0,0,1,2,2,2,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2
