acceptance_code_0[0],acceptance_code_0[1],acceptance_code_0[2],acceptance_code_0[3],acceptance_code_0[4],acceptance_code_0[5],acceptance_code_0[6],acceptance_code_0[7],acceptance_code_2[0],acceptance_code_2[1],acceptance_code_2[2],acceptance_code_2[3],acceptance_code_2[4],acceptance_code_2[5],acceptance_code_2[6],acceptance_code_2[7],acceptance_code_1[0],acceptance_code_1[1],acceptance_code_1[2],acceptance_code_1[3],acceptance_code_1[4],acceptance_code_1[5],acceptance_code_1[6],acceptance_code_1[7],acceptance_filter_mode,acceptance_code_3[0],acceptance_code_3[1],acceptance_code_3[2],acceptance_code_3[3],acceptance_code_3[4],acceptance_code_3[5],acceptance_code_3[6],acceptance_code_3[7],acceptance_mask_1[0],acceptance_mask_1[1],acceptance_mask_1[2],acceptance_mask_1[3],acceptance_mask_1[4],acceptance_mask_1[5],acceptance_mask_1[6],acceptance_mask_1[7],acceptance_mask_0[0],acceptance_mask_0[1],acceptance_mask_0[2],acceptance_mask_0[3],acceptance_mask_0[4],acceptance_mask_0[5],acceptance_mask_0[6],acceptance_mask_0[7],acceptance_mask_3[0],acceptance_mask_3[1],acceptance_mask_3[2],acceptance_mask_3[3],acceptance_mask_3[4],acceptance_mask_3[5],acceptance_mask_3[6],acceptance_mask_3[7],acceptance_mask_2[0],acceptance_mask_2[1],acceptance_mask_2[2],acceptance_mask_2[3],acceptance_mask_2[4],acceptance_mask_2[5],acceptance_mask_2[6],acceptance_mask_2[7],data0[0],data0[1],data0[2],data0[3],data0[4],data0[5],data0[6],data0[7],clk,extended_mode,data1[0],data1[1],data1[2],data1[3],data1[4],data1[5],data1[6],data1[7],go_rx_crc_lim,go_error_frame,id[0],id[1],id[2],id[3],id[4],id[5],id[6],id[7],id[8],id[9],id[10],id[11],id[12],id[13],id[14],id[15],id[16],id[17],id[18],id[19],id[20],id[21],id[22],id[23],id[24],id[25],id[26],id[27],id[28],go_rx_inter,match,ide,match_df_std,match_df_ext,match_sf_std,match_sf_ext,no_byte1,no_byte0,rst,reset_mode,rtr2,rtr1,id_ok,[1]acceptance_code_0[0],[1]acceptance_code_0[1],[1]acceptance_code_0[2],[1]acceptance_code_0[3],[1]acceptance_code_0[4],[1]acceptance_code_0[5],[1]acceptance_code_0[6],[1]acceptance_code_0[7],[1]acceptance_code_2[0],[1]acceptance_code_2[1],[1]acceptance_code_2[2],[1]acceptance_code_2[3],[1]acceptance_code_2[4],[1]acceptance_code_2[5],[1]acceptance_code_2[6],[1]acceptance_code_2[7],[1]acceptance_code_1[0],[1]acceptance_code_1[1],[1]acceptance_code_1[2],[1]acceptance_code_1[3],[1]acceptance_code_1[4],[1]acceptance_code_1[5],[1]acceptance_code_1[6],[1]acceptance_code_1[7],[1]acceptance_filter_mode,[1]acceptance_code_3[0],[1]acceptance_code_3[1],[1]acceptance_code_3[2],[1]acceptance_code_3[3],[1]acceptance_code_3[4],[1]acceptance_code_3[5],[1]acceptance_code_3[6],[1]acceptance_code_3[7],[1]acceptance_mask_1[0],[1]acceptance_mask_1[1],[1]acceptance_mask_1[2],[1]acceptance_mask_1[3],[1]acceptance_mask_1[4],[1]acceptance_mask_1[5],[1]acceptance_mask_1[6],[1]acceptance_mask_1[7],[1]acceptance_mask_0[0],[1]acceptance_mask_0[1],[1]acceptance_mask_0[2],[1]acceptance_mask_0[3],[1]acceptance_mask_0[4],[1]acceptance_mask_0[5],[1]acceptance_mask_0[6],[1]acceptance_mask_0[7],[1]acceptance_mask_3[0],[1]acceptance_mask_3[1],[1]acceptance_mask_3[2],[1]acceptance_mask_3[3],[1]acceptance_mask_3[4],[1]acceptance_mask_3[5],[1]acceptance_mask_3[6],[1]acceptance_mask_3[7],[1]acceptance_mask_2[0],[1]acceptance_mask_2[1],[1]acceptance_mask_2[2],[1]acceptance_mask_2[3],[1]acceptance_mask_2[4],[1]acceptance_mask_2[5],[1]acceptance_mask_2[6],[1]acceptance_mask_2[7],[1]data0[0],[1]data0[1],[1]data0[2],[1]data0[3],[1]data0[4],[1]data0[5],[1]data0[6],[1]data0[7],[1]clk,[1]extended_mode,[1]data1[0],[1]data1[1],[1]data1[2],[1]data1[3],[1]data1[4],[1]data1[5],[1]data1[6],[1]data1[7],[1]go_rx_crc_lim,[1]go_error_frame,[1]id[0],[1]id[1],[1]id[2],[1]id[3],[1]id[4],[1]id[5],[1]id[6],[1]id[7],[1]id[8],[1]id[9],[1]id[10],[1]id[11],[1]id[12],[1]id[13],[1]id[14],[1]id[15],[1]id[16],[1]id[17],[1]id[18],[1]id[19],[1]id[20],[1]id[21],[1]id[22],[1]id[23],[1]id[24],[1]id[25],[1]id[26],[1]id[27],[1]id[28],[1]go_rx_inter,[1]match,[1]ide,[1]match_df_std,[1]match_df_ext,[1]match_sf_std,[1]match_sf_ext,[1]no_byte1,[1]no_byte0,[1]rst,[1]reset_mode,[1]rtr2,[1]rtr1,[1]id_ok
1,0,1,0,1,0,1,1,1,1,0,0,1,0,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,0,0,1,1,0,0,1,1,1,0,1,2,1,0,1,0,0,0,1,1,1,0,1,1,0,1,1,2,1,0,1,1,1,1,0,1,0,1,1,1,0,1,0,1,0,0,0,1,0,0,1,2,2,2,1,1,1,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,1,1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,2,0,1,0,1,0,1,0,1,1,0,1,0,0,1,1,1,1,1,0,1,0,0,0,1,1,1,0,1,1,2,2,2,2,1,1,0,0,0,1,1,2,1,0,1,0,0,1,1,2,1,0,1,1,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,1,2,2,2,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,0,1,1,1,1,2,2,2,2,2,1,0,1,0,0,0,0,1,0,0,0,1,1,0
1,0,0,0,1,1,1,1,0,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1,1,0,0,1,1,1,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,1,0,1,1,1,1,0,0,1,0,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,0,0,1,1,0,0,1,1,1,0,1,2,1,0,1,0,0,0,1,1,1,0,1,1,0,1,1,2,1,0,1,1,1,1,0,1,0,1,1,1,0,1,0,1,0,0,0,1,0,0,1,2,2,2,1,1,1,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,1,1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,0,0,0,1,0,1,1,0,0,0,0,1,0,1,1,1,1,1,0,1,0,1,1,1,1,0,0,1,0,0,1,1,1,0,0,0,1,1,1,1,1,0,1,0,1,0,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,0,1,1,0,0,1,1,0,0,1,1,0,0,0,1,1,0,1,0,0,1,1,0,1,1,1,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,1,1,0,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1,1,0,0,1,1,1,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0
0,0,1,1,1,0,0,1,0,1,1,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,1,1,1,1,1,0,1,0,1,1,1,1,0,0,1,0,0,1,1,1,0,0,0,1,1,1,1,1,0,1,0,1,0,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,0,1,1,0,0,1,1,0,0,1,1,0,0,0,1,1,0,1,0,0,1,1,0,1,1,1,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0
0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,0,1,1,1,0,1,1,0,0,1,1,1,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0
1,0,1,1,0,1,1,1,1,0,1,1,0,0,1,1,1,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,0,1,1,1,0,1,1,0,0,1,1,1,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0
1,0,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,0,1,1,0,0,1,0,1,1,0,1,1,0,0,1,0,1,1,1,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,1,1,0,0,1,1,1,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,1,1,1,1,0,1,1,0,0,1,1,1,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,1,0,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1,1,0,0,0,1,1,0,1,0,0,1,1,1,1,0,1,1,0,0,1,1,1,0,0,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,0,1,1,0,0,1,0,1,1,0,1,1,0,0,1,0,1,1,1,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,1,1,0,0,1,1,1,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
0,1,1,0,0,1,1,1,1,0,0,0,0,1,0,1,0,1,1,1,0,0,1,1,1,1,0,0,1,0,1,0,1,1,0,1,0,1,1,1,1,0,0,0,0,1,0,1,1,1,0,0,1,0,1,0,1,1,0,1,0,1,1,1,1,0,1,0,1,0,1,1,1,0,1,1,1,1,1,1,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,1,1,0,1,0,1,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,1,0,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1,1,0,0,0,1,1,0,1,0,0,1,1,1,1,0,1,1,0,0,1,1,1,0,0,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0
0,1,0,0,1,1,1,1,0,1,1,0,0,0,0,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,1,1,0,1,1,1,1,0,1,0,0,0,1,0,0,1,1,0,1,0,1,1,1,0,1,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1,1,1,0,0,0,0,1,0,1,0,1,1,1,0,0,1,1,1,1,0,0,1,0,1,0,1,1,0,1,0,1,1,1,1,0,0,0,0,1,0,1,1,1,0,0,1,0,1,0,1,1,0,1,0,1,1,1,1,0,1,0,1,0,1,1,1,0,1,1,1,1,1,1,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,1,1,0,1,0,1,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0
