DEFAULT_CLOCK,cavlc_state[0],cavlc_state[1],cavlc_state[2],cavlc_state[3],cavlc_state[4],cavlc_state[5],cavlc_state[6],cavlc_state[7],len_read_run_befores_comb[0],len_read_run_befores_comb[1],len_read_run_befores_comb[2],len_read_run_befores_comb[3],len_read_levels_comb[0],len_read_levels_comb[1],len_read_levels_comb[2],len_read_levels_comb[3],len_read_levels_comb[4],len_read_total_zeros_comb[0],len_read_total_zeros_comb[1],len_read_total_zeros_comb[2],len_read_total_zeros_comb[3],len_read_total_coeffs_comb[0],len_read_total_coeffs_comb[1],len_read_total_coeffs_comb[2],len_read_total_coeffs_comb[3],len_read_total_coeffs_comb[4],len_comb[0],len_comb[1],len_comb[2],len_comb[3],len_comb[4]
0,0,0,1,0,0,1,2,2,1,0,0,1,1,1,2,2,2,1,2,2,2,1,0,1,1,2,1,1,2,2,2
0,1,0,1,1,0,0,0,1,0,1,0,1,1,1,2,2,2,1,0,1,2,1,0,1,1,2,1,1,2,2,2
0,0,1,1,0,1,1,1,1,1,0,1,1,0,0,1,1,2,1,0,1,1,1,0,0,1,1,1,0,0,1,1
0,0,1,1,0,0,0,1,1,0,1,0,1,1,0,1,1,2,1,0,1,1,1,1,1,0,1,1,1,1,0,1
0,0,1,0,0,1,0,1,1,0,1,0,1,0,1,1,1,2,1,1,1,1,0,0,0,1,1,0,0,0,1,1
0,1,0,1,0,0,0,1,1,1,0,1,1,1,0,1,1,2,0,0,1,1,1,0,1,1,1,1,0,1,1,1
0,1,1,0,0,0,1,1,1,0,0,1,1,0,0,1,1,2,0,1,0,1,0,1,0,1,1,0,1,0,1,1
0,1,0,1,1,1,0,0,1,1,1,1,1,1,0,1,1,2,0,1,1,1,1,1,0,0,1,1,0,1,1,1
0,1,1,0,1,0,1,1,1,0,1,1,1,0,1,1,1,2,1,0,1,1,1,0,1,1,1,1,0,1,1,1
0,1,1,1,1,0,0,1,1,0,1,0,1,0,1,0,1,2,1,1,1,1,0,0,1,1,1,0,0,1,1,1
0,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,1,1,0,0,0,1,1
0,1,0,0,1,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1
0,0,0,1,1,1,1,0,1,1,1,0,1,1,0,0,0,1,0,1,0,1,1,0,1,1,1,1,0,0,0,1
0,1,1,1,1,0,0,1,1,0,1,0,1,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,1,0,1
0,1,0,0,0,1,1,1,1,0,1,0,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1
0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1,0,0,1,1,1
