DEFAULT_CLOCK,data_in,crc_in_masked[0],crc_in_masked[1],crc_in_masked[2],crc_in_masked[3],crc_in_masked[4],crc_in_masked[5],crc_in_masked[6],crc_in[0],crc_in[1],crc_in[2],crc_in[3],crc_in[4],crc_in[5],crc_in[6],crc_in[7],crc_poly_size[0],crc_poly_size[1],crc_poly_size[2],crc_poly_size[3],crc_poly_size[4],crc_poly_size[5],crc_poly_size[6],crc_poly[0],crc_poly[1],crc_poly[2],crc_poly[3],crc_poly[4],crc_poly[5],crc_poly[6],crc_poly[7],crc_poly_size_reversed[0],crc_poly_size_reversed[1],crc_poly_size_reversed[2],crc_poly_size_reversed[3],crc_poly_size_reversed[4],crc_poly_size_reversed[5],crc_poly_size_reversed[6],feedback[0],feedback[1],feedback[2],feedback[3],feedback[4],feedback[5],feedback[6],feedback[7],MASK_REVERSED[0],MASK_REVERSED[1],MASK_REVERSED[2],MASK_REVERSED[3],MASK_REVERSED[4],MASK_REVERSED[5],MASK_REVERSED[6],crc_out[0],crc_out[1],crc_out[2],crc_out[3],crc_out[4],crc_out[5],crc_out[6],crc_out[7]
0,1,1,1,0,0,0,1,2,1,1,0,0,0,1,1,2,1,2,2,2,2,2,2,0,0,1,0,0,1,2,2,0,0,0,0,0,0,1,0,0,1,0,0,1,2,2,1,1,1,1,1,1,1,0,1,0,0,0,1,1,2
0,1,0,1,0,0,0,1,2,0,1,0,0,1,1,1,2,1,0,1,1,2,2,2,1,0,1,1,0,1,2,2,0,0,0,1,1,0,1,1,0,1,1,0,1,2,2,1,1,1,1,1,1,1,1,0,0,1,0,1,1,2
0,0,1,0,1,0,0,1,2,1,0,1,1,1,1,1,2,1,0,1,1,2,2,2,1,0,1,1,0,1,2,2,0,0,0,1,1,0,1,0,0,1,1,0,1,2,2,1,1,1,1,1,1,1,0,1,0,1,0,0,1,2
0,1,0,1,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,1,1,2,2,2,1,0,1,1,0,1,1,1,0,0,0,1,1,0,1,0,0,1,1,0,1,2,2,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1
0,1,1,0,1,0,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,2,1,0,1,0,0,0,1,1,0,1,0,1,0,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
0,0,0,1,1,0,1,0,1,0,1,1,1,0,0,1,1,1,1,1,1,0,1,2,0,1,0,0,1,0,1,1,0,0,0,1,1,1,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
0,0,0,0,1,1,0,1,1,1,0,1,1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,1,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1
0,1,0,0,0,1,0,1,1,0,1,0,1,1,1,0,1,1,0,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1
0,0,1,0,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1
0,1,1,1,0,0,1,1,1,1,1,0,0,1,0,1,1,1,1,0,0,1,1,1,0,1,1,0,1,0,0,1,0,0,1,0,0,1,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1
