Clk,MdcEn,Divider[0],Divider[1],Divider[2],Divider[3],Divider[4],Divider[5],Divider[6],Divider[7],Reset,MdcEn_n,CounterPreset[0],CounterPreset[1],CounterPreset[2],CounterPreset[3],CounterPreset[4],CounterPreset[5],CounterPreset[6],CounterPreset[7],TempDivider[0],TempDivider[1],TempDivider[2],TempDivider[3],TempDivider[4],TempDivider[5],TempDivider[6],TempDivider[7],Counter[0],Counter[1],Counter[2],Counter[3],Counter[4],Counter[5],Counter[6],Counter[7],CountEq0,Mdc,[1]Clk,[1]MdcEn,[1]Divider[0],[1]Divider[1],[1]Divider[2],[1]Divider[3],[1]Divider[4],[1]Divider[5],[1]Divider[6],[1]Divider[7],[1]Reset,[1]MdcEn_n,[1]CounterPreset[0],[1]CounterPreset[1],[1]CounterPreset[2],[1]CounterPreset[3],[1]CounterPreset[4],[1]CounterPreset[5],[1]CounterPreset[6],[1]CounterPreset[7],[1]TempDivider[0],[1]TempDivider[1],[1]TempDivider[2],[1]TempDivider[3],[1]TempDivider[4],[1]TempDivider[5],[1]TempDivider[6],[1]TempDivider[7],[1]Counter[0],[1]Counter[1],[1]Counter[2],[1]Counter[3],[1]Counter[4],[1]Counter[5],[1]Counter[6],[1]Counter[7],[1]CountEq0,[1]Mdc
0,1,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,2,2,1,0,0,0,0,0,0,1,0,2,2,2,2,2,2,2,1,0,0,0,0,0,1,0,0,1,2,2,0,0,1,0,0,0,1,2,2,2,0,0,1,0,0,1,2,2,1,2,2,2,2,2,2,2,0,0
0,0,1,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,2,2,1,0,0,1,0,0,0,1,1,1,1,1,1,1,2,2,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,2,2,1,0,0,0,0,0,0,1,0,2,2,2,2,2,2,2,1,0
0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,2,2,1,1,0,0,0,1,1,1,0,1,1,1,1,1,2,2,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,2,2,1,0,0,1,0,0,0,1,1,1,1,1,1,1,2,2,0,1
0,0,1,0,1,1,0,1,1,1,0,0,1,0,1,0,1,1,2,2,1,0,1,1,0,1,1,1,1,0,1,1,1,1,2,2,0,1,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,2,2,1,1,0,0,0,1,1,1,0,1,1,1,1,1,2,2,0,1
0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1,2,1,0,1,1,0,0,0,1,0,0,1,1,1,1,2,2,0,1,0,0,1,0,1,1,0,1,1,1,0,0,1,0,1,0,1,1,2,2,1,0,1,1,0,1,1,1,1,0,1,1,1,1,2,2,0,1
0,0,1,0,1,0,0,1,1,1,0,0,1,0,0,0,1,1,1,2,1,0,1,0,0,1,1,1,1,1,0,1,1,1,2,2,0,1,0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1,2,1,0,1,1,0,0,0,1,0,0,1,1,1,1,2,2,0,1
0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,2,0,1,0,0,1,1,1,1,0,1,0,1,1,1,2,2,0,1,0,0,1,0,1,0,0,1,1,1,0,0,1,0,0,0,1,1,1,2,1,0,1,0,0,1,1,1,1,1,0,1,1,1,2,2,0,1
0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,2,0,1,0,0,1,1,1,1,1,0,0,1,1,1,2,2,0,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,2,0,1,0,0,1,1,1,1,0,1,0,1,1,1,2,2,0,1
0,0,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,2,1,0,1,1,1,1,1,1,0,0,0,1,1,1,2,2,0,1,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,2,0,1,0,0,1,1,1,1,1,0,0,1,1,1,2,2,0,1
0,0,0,1,1,0,1,1,1,1,0,0,0,1,0,1,1,1,1,2,0,1,1,0,1,1,1,1,1,1,1,0,1,1,2,2,0,1,0,0,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,2,1,0,1,1,1,1,1,1,0,0,0,1,1,1,2,2,0,1
0,0,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,2,1,0,1,1,1,1,1,1,0,1,1,0,1,1,2,2,0,1,0,0,0,1,1,0,1,1,1,1,0,0,0,1,0,1,1,1,1,2,0,1,1,0,1,1,1,1,1,1,1,0,1,1,2,2,0,1
0,0,1,0,1,1,0,1,1,1,0,0,1,0,1,0,1,1,1,2,1,0,1,1,0,1,1,1,1,0,1,0,1,1,2,2,0,1,0,0,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,2,1,0,1,1,1,1,1,1,0,1,1,0,1,1,2,2,0,1
0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1,2,0,0,1,1,0,0,0,1,0,0,1,0,1,1,2,2,0,1,0,0,1,0,1,1,0,1,1,1,0,0,1,0,1,0,1,1,1,2,1,0,1,1,0,1,1,1,1,0,1,0,1,1,2,2,0,1
0,0,1,0,0,1,1,1,1,1,0,0,1,1,0,1,1,1,1,2,1,0,0,1,1,1,1,1,1,1,0,0,1,1,2,2,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1,2,0,0,1,1,0,0,0,1,0,0,1,0,1,1,2,2,0,1
