InputSignal,OutputSignal,MainClock,InputSignalEdgeDet[0],InputSignalEdgeDet[1],InputSignalEdge,Lead,Lag,[1]InputSignal,[1]OutputSignal,[1]MainClock,[1]InputSignalEdgeDet[0],[1]InputSignalEdgeDet[1],[1]InputSignalEdge,[1]Lead,[1]Lag
1,1,0,0,2,0,2,0,0,1,0,2,2,2,2,2
1,1,0,1,2,1,0,0,1,1,0,0,2,0,2,0
1,0,0,1,1,0,1,0,1,1,0,1,2,1,0,0
1,1,0,1,1,0,0,0,1,0,0,1,1,0,1,0
0,1,0,1,1,0,0,0,1,1,0,1,1,0,0,0
1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0
1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0
1,0,0,1,1,0,0,1,1,0,0,1,1,1,0,0
1,1,0,1,1,0,0,0,1,0,0,1,1,0,0,1
0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0
0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
1,0,0,1,1,1,0,0,1,1,0,0,1,0,0,0
0,0,0,1,1,0,0,1,1,0,0,1,1,1,0,0
0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1
1,1,0,1,1,1,0,0,1,1,0,0,1,0,0,0
0,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0
1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0
0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1
1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0
1,0,0,0,1,0,1,0,0,1,0,1,1,1,0,0
0,0,0,1,1,1,0,0,1,0,0,0,1,0,1,0
0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0
1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1
1,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0
0,1,0,1,1,0,0,0,1,0,0,1,1,0,1,0
1,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0
0,0,0,1,1,1,0,0,1,1,0,0,1,0,0,0
1,1,0,0,1,0,0,1,0,0,0,1,1,1,0,0
0,1,0,1,1,1,0,0,1,1,0,0,1,0,0,1
1,1,0,1,1,1,0,0,1,0,0,0,1,0,1,0
0,0,0,1,1,0,0,0,1,1,0,1,1,0,0,0
0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1,1,0,1,1,1,0,0,1,1,0,0,1,0,0,1
1,0,0,1,1,0,0,0,1,1,0,1,1,0,0,0
0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0
0,1,0,1,1,1,0,0,1,1,0,0,1,0,0,0
1,1,0,0,1,0,1,0,0,1,0,1,1,1,0,0
1,0,0,1,1,1,0,0,1,1,0,0,1,0,1,0
1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1
0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0
0,0,0,1,1,1,0,0,1,1,0,0,1,0,0,1
1,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0
0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,1
0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,1
0,1,0,0,1,0,1,0,0,1,0,1,1,1,0,0
1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0
0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0
0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
0,1,0,0,1,0,0,1,0,0,0,1,1,1,0,0
1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1
0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1
1,1,0,1,1,1,0,0,1,0,0,0,1,0,0,1
0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0
1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1
0,0,0,1,1,1,0,0,1,1,0,0,1,0,1,0
0,0,0,0,1,0,1,0,0,1,0,1,1,1,0,0
1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
1,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0
1,1,0,1,1,0,1,0,1,1,0,1,1,1,0,0
0,1,0,1,1,0,0,0,1,1,0,1,1,0,1,0
0,1,0,1,1,1,0,0,1,0,0,0,1,0,1,0
0,1,0,1,1,0,1,0,1,1,0,1,1,1,0,0
0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,0
1,0,0,1,1,0,0,0,1,1,0,1,1,0,1,0
0,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0
0,1,0,1,1,0,0,1,1,0,0,1,1,1,0,0
0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1
1,1,0,0,1,0,0,0,0,1,0,1,1,0,1,0
0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0
1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1
1,1,0,1,1,0,0,1,1,0,0,1,1,1,0,0
0,1,0,1,1,0,0,0,1,1,0,1,1,0,0,1
1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0
1,0,0,1,1,1,0,0,1,0,0,0,1,0,1,0
0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,1
0,1,0,1,1,1,0,0,1,1,0,0,1,0,1,0
1,0,0,1,1,1,0,0,1,1,0,0,1,0,0,1
1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1
1,1,0,1,1,0,0,0,1,1,0,1,1,0,1,0
0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0
0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0
0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0
0,0,0,1,1,0,0,0,1,0,0,1,1,0,1,0
1,0,0,1,1,0,0,0,1,1,0,1,1,0,0,1
1,1,0,0,1,0,0,0,0,1,0,1,1,0,0,1
1,1,0,1,1,0,0,0,1,1,0,1,1,0,0,1
0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1
1,1,0,1,1,1,0,0,1,1,0,0,1,0,1,0
1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
