sbox_in[0],sbox_in[1],sbox_in[2],sbox_in[3],sbox_in[4],sbox_in[5],sbox_in[6],sbox_in[7],out_gf_inv8_1[0],out_gf_inv8_1[1],out_gf_inv8_1[2],out_gf_inv8_1[3],out_gf_inv8_1[4],out_gf_inv8_1[5],out_gf_inv8_1[6],out_gf_inv8_1[7],enc_dec,out_gf_inv8_stage1[0],out_gf_inv8_stage1[1],out_gf_inv8_stage1[2],out_gf_inv8_stage1[3],clk,sbox_out_enc[0],sbox_out_enc[1],sbox_out_enc[2],sbox_out_enc[3],sbox_out_enc[4],sbox_out_enc[5],sbox_out_enc[6],sbox_out_enc[7],base_new_dec[0],base_new_dec[1],base_new_dec[2],base_new_dec[3],base_new_dec[4],base_new_dec[5],base_new_dec[6],base_new_dec[7],out_gf_pp[0],out_gf_pp[1],out_gf_pp[2],out_gf_pp[3],base_new[0],base_new[1],base_new[2],base_new[3],base_new[4],base_new[5],base_new[6],base_new[7],sbox_out_dec[0],sbox_out_dec[1],sbox_out_dec[2],sbox_out_dec[3],sbox_out_dec[4],sbox_out_dec[5],sbox_out_dec[6],sbox_out_dec[7],base_new_enc[0],base_new_enc[1],base_new_enc[2],base_new_enc[3],base_new_enc[4],base_new_enc[5],base_new_enc[6],base_new_enc[7],base_new_pp[0],base_new_pp[1],base_new_pp[2],base_new_pp[3],base_new_pp[4],base_new_pp[5],base_new_pp[6],base_new_pp[7],[1]sbox_in[0],[1]sbox_in[1],[1]sbox_in[2],[1]sbox_in[3],[1]sbox_in[4],[1]sbox_in[5],[1]sbox_in[6],[1]sbox_in[7],[1]out_gf_inv8_1[0],[1]out_gf_inv8_1[1],[1]out_gf_inv8_1[2],[1]out_gf_inv8_1[3],[1]out_gf_inv8_1[4],[1]out_gf_inv8_1[5],[1]out_gf_inv8_1[6],[1]out_gf_inv8_1[7],[1]enc_dec,[1]out_gf_inv8_stage1[0],[1]out_gf_inv8_stage1[1],[1]out_gf_inv8_stage1[2],[1]out_gf_inv8_stage1[3],[1]clk,[1]sbox_out_enc[0],[1]sbox_out_enc[1],[1]sbox_out_enc[2],[1]sbox_out_enc[3],[1]sbox_out_enc[4],[1]sbox_out_enc[5],[1]sbox_out_enc[6],[1]sbox_out_enc[7],[1]base_new_dec[0],[1]base_new_dec[1],[1]base_new_dec[2],[1]base_new_dec[3],[1]base_new_dec[4],[1]base_new_dec[5],[1]base_new_dec[6],[1]base_new_dec[7],[1]out_gf_pp[0],[1]out_gf_pp[1],[1]out_gf_pp[2],[1]out_gf_pp[3],[1]base_new[0],[1]base_new[1],[1]base_new[2],[1]base_new[3],[1]base_new[4],[1]base_new[5],[1]base_new[6],[1]base_new[7],[1]sbox_out_dec[0],[1]sbox_out_dec[1],[1]sbox_out_dec[2],[1]sbox_out_dec[3],[1]sbox_out_dec[4],[1]sbox_out_dec[5],[1]sbox_out_dec[6],[1]sbox_out_dec[7],[1]base_new_enc[0],[1]base_new_enc[1],[1]base_new_enc[2],[1]base_new_enc[3],[1]base_new_enc[4],[1]base_new_enc[5],[1]base_new_enc[6],[1]base_new_enc[7],[1]base_new_pp[0],[1]base_new_pp[1],[1]base_new_pp[2],[1]base_new_pp[3],[1]base_new_pp[4],[1]base_new_pp[5],[1]base_new_pp[6],[1]base_new_pp[7]
1,1,0,0,0,1,1,1,1,1,1,1,0,1,2,2,1,1,1,1,1,0,0,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,0,0,1,0,1,0,2,2,2,2,2,2,2,2,0,1,1,1,1,0,1,2,3,2,2,2,1,0,0,0,0,1,0,1,2,2,2,2,2,2,2,2,0,0,0,1,1,0,0,1,3,2,2,2,2,2,2,2
1,0,1,1,0,0,0,1,1,0,1,0,1,1,1,2,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,1,0,0,0,0,1,1,0,1,1,1,1,0,1,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,2,2,1,1,1,1,1,0,0,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,1
0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,0,1,0,0,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,1,1,0,1,0,1,1,1,2,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,1,0,0,0,0,1,1,0,1,1,1,1,0,1,0,1,1
1,0,1,1,1,0,0,1,0,1,0,1,0,0,1,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,0,1,0,0,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1
1,0,1,1,1,1,0,1,0,1,1,0,0,1,1,1,0,0,1,1,1,0,1,1,1,0,1,0,1,1,0,1,0,1,0,1,1,1,0,0,1,1,1,0,1,0,1,0,1,1,1,0,0,0,0,1,1,1,0,1,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,0,1,0,1,0,0,1,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1
0,0,1,1,0,0,0,1,1,1,1,0,0,0,1,1,1,1,1,0,1,0,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,1,1,0,1,1,1,1,0,1,0,1,1,0,0,1,1,1,0,0,1,1,1,0,1,1,1,0,1,0,1,1,0,1,0,1,0,1,1,1,0,0,1,1,1,0,1,0,1,0,1,1,1,0,0,0,0,1,1,1,0,1,0,0,1,1,0,1,1,1,1,0,1,1,1,1
0,1,1,0,0,0,1,1,0,1,1,0,0,0,1,1,1,0,1,0,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,1,1,1,1,0,0,0,1,1,1,1,1,0,1,0,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,1
0,1,0,1,0,1,0,1,0,0,0,1,1,0,1,1,1,0,1,1,1,0,0,0,1,0,1,1,0,1,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,1,1,1,1,0,1,0,1,1,0,1,1,1,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,1,1,0,0,0,1,1,1,0,1,0,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,1,0,0,0,0,1,0,1,1
1,1,1,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,1,1,0,1,1,1,0,1,1,1,1,0,0,1,0,1,0,0,1,1,1,1,1,0,0,0,0,1,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0,1,1,1,0,1,1,1,0,0,0,1,0,1,1,0,1,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,1,1,1,1,0,1,0,1,1,0,1,1,1,0,0,0,0,1,1
1,1,1,1,0,0,0,1,0,1,0,0,1,1,1,1,0,0,1,1,1,0,1,0,1,0,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,1,1,0,1,1,1,0,1,1,1,1,0,0,1,0,1,0,0,1,1,1,1,1,0,0,0,0,1,1,1,0,1,0,1,0,0,1,1
