clk_en_i,divide_i,clk_i,divisor_i[0],divisor_i[1],divisor_i[2],divisor_i[3],divisor_i[4],divisor_i[5],divisor_i[6],divisor_i[7],dividend_i[0],dividend_i[1],dividend_i[2],dividend_i[3],dividend_i[4],dividend_i[5],dividend_i[6],dividend_i[7],dividend_i[8],dividend_i[9],dividend_i[10],dividend_i[11],dividend_i[12],dividend_i[13],dividend_i[14],dividend_i[15],rst_i,quotient_o[0],quotient_o[1],quotient_o[2],quotient_o[3],quotient_o[4],quotient_o[5],quotient_o[6],quotient_o[7],quotient_o[8],quotient_o[9],quotient_o[10],quotient_o[11],quotient_o[12],quotient_o[13],quotient_o[14],quotient_o[15],quotient_node[0],quotient_node[1],quotient_node[2],quotient_node[3],quotient_node[4],quotient_node[5],quotient_node[6],quotient_node[7],quotient_node[8],quotient_node[9],quotient_node[10],quotient_node[11],quotient_node[12],quotient_node[13],quotient_node[14],quotient_node[15],subtract_node[0],subtract_node[1],subtract_node[2],subtract_node[3],subtract_node[4],subtract_node[5],subtract_node[6],subtract_node[7],subtract_node[8],subtract_node[9],subtract_node[10],subtract_node[11],subtract_node[12],subtract_node[13],subtract_node[14],subtract_node[15],subtract_node[16],subtract_node[17],subtract_node[18],subtract_node[19],subtract_node[20],subtract_node[21],subtract_node[22],subtract_node[23],divisor_node[0],divisor_node[1],divisor_node[2],divisor_node[3],divisor_node[4],divisor_node[5],divisor_node[6],divisor_node[7],divisor_node[8],divisor_node[9],divisor_node[10],divisor_node[11],divisor_node[12],divisor_node[13],divisor_node[14],divisor_node[15],divisor_node[16],divisor_node[17],divisor_node[18],divisor_node[19],divisor_node[20],divisor_node[21],divisor_node[22],divide_count[0],divide_count[1],divide_count[2],divide_count[3],divide_count[4],grand_dividend[0],grand_dividend[1],grand_dividend[2],grand_dividend[3],grand_dividend[4],grand_dividend[5],grand_dividend[6],grand_dividend[7],grand_dividend[8],grand_dividend[9],grand_dividend[10],grand_dividend[11],grand_dividend[12],grand_dividend[13],grand_dividend[14],grand_dividend[15],done_o,quotient[0],quotient[1],quotient[2],quotient[3],quotient[4],quotient[5],quotient[6],quotient[7],quotient[8],quotient[9],quotient[10],quotient[11],quotient[12],quotient[13],quotient[14],quotient[15],grand_divisor[0],grand_divisor[1],grand_divisor[2],grand_divisor[3],grand_divisor[4],grand_divisor[5],grand_divisor[6],grand_divisor[7],grand_divisor[8],grand_divisor[9],grand_divisor[10],grand_divisor[11],grand_divisor[12],grand_divisor[13],grand_divisor[14],grand_divisor[15],grand_divisor[16],grand_divisor[17],grand_divisor[18],grand_divisor[19],grand_divisor[20],grand_divisor[21],grand_divisor[22],quotient_reg[0],quotient_reg[1],quotient_reg[2],quotient_reg[3],quotient_reg[4],quotient_reg[5],quotient_reg[6],quotient_reg[7],quotient_reg[8],quotient_reg[9],quotient_reg[10],quotient_reg[11],quotient_reg[12],quotient_reg[13],quotient_reg[14],quotient_reg[15],[1]clk_en_i,[1]divide_i,[1]clk_i,[1]divisor_i[0],[1]divisor_i[1],[1]divisor_i[2],[1]divisor_i[3],[1]divisor_i[4],[1]divisor_i[5],[1]divisor_i[6],[1]divisor_i[7],[1]dividend_i[0],[1]dividend_i[1],[1]dividend_i[2],[1]dividend_i[3],[1]dividend_i[4],[1]dividend_i[5],[1]dividend_i[6],[1]dividend_i[7],[1]dividend_i[8],[1]dividend_i[9],[1]dividend_i[10],[1]dividend_i[11],[1]dividend_i[12],[1]dividend_i[13],[1]dividend_i[14],[1]dividend_i[15],[1]rst_i,[1]quotient_o[0],[1]quotient_o[1],[1]quotient_o[2],[1]quotient_o[3],[1]quotient_o[4],[1]quotient_o[5],[1]quotient_o[6],[1]quotient_o[7],[1]quotient_o[8],[1]quotient_o[9],[1]quotient_o[10],[1]quotient_o[11],[1]quotient_o[12],[1]quotient_o[13],[1]quotient_o[14],[1]quotient_o[15],[1]quotient_node[0],[1]quotient_node[1],[1]quotient_node[2],[1]quotient_node[3],[1]quotient_node[4],[1]quotient_node[5],[1]quotient_node[6],[1]quotient_node[7],[1]quotient_node[8],[1]quotient_node[9],[1]quotient_node[10],[1]quotient_node[11],[1]quotient_node[12],[1]quotient_node[13],[1]quotient_node[14],[1]quotient_node[15],[1]subtract_node[0],[1]subtract_node[1],[1]subtract_node[2],[1]subtract_node[3],[1]subtract_node[4],[1]subtract_node[5],[1]subtract_node[6],[1]subtract_node[7],[1]subtract_node[8],[1]subtract_node[9],[1]subtract_node[10],[1]subtract_node[11],[1]subtract_node[12],[1]subtract_node[13],[1]subtract_node[14],[1]subtract_node[15],[1]subtract_node[16],[1]subtract_node[17],[1]subtract_node[18],[1]subtract_node[19],[1]subtract_node[20],[1]subtract_node[21],[1]subtract_node[22],[1]subtract_node[23],[1]divisor_node[0],[1]divisor_node[1],[1]divisor_node[2],[1]divisor_node[3],[1]divisor_node[4],[1]divisor_node[5],[1]divisor_node[6],[1]divisor_node[7],[1]divisor_node[8],[1]divisor_node[9],[1]divisor_node[10],[1]divisor_node[11],[1]divisor_node[12],[1]divisor_node[13],[1]divisor_node[14],[1]divisor_node[15],[1]divisor_node[16],[1]divisor_node[17],[1]divisor_node[18],[1]divisor_node[19],[1]divisor_node[20],[1]divisor_node[21],[1]divisor_node[22],[1]divide_count[0],[1]divide_count[1],[1]divide_count[2],[1]divide_count[3],[1]divide_count[4],[1]grand_dividend[0],[1]grand_dividend[1],[1]grand_dividend[2],[1]grand_dividend[3],[1]grand_dividend[4],[1]grand_dividend[5],[1]grand_dividend[6],[1]grand_dividend[7],[1]grand_dividend[8],[1]grand_dividend[9],[1]grand_dividend[10],[1]grand_dividend[11],[1]grand_dividend[12],[1]grand_dividend[13],[1]grand_dividend[14],[1]grand_dividend[15],[1]done_o,[1]quotient[0],[1]quotient[1],[1]quotient[2],[1]quotient[3],[1]quotient[4],[1]quotient[5],[1]quotient[6],[1]quotient[7],[1]quotient[8],[1]quotient[9],[1]quotient[10],[1]quotient[11],[1]quotient[12],[1]quotient[13],[1]quotient[14],[1]quotient[15],[1]grand_divisor[0],[1]grand_divisor[1],[1]grand_divisor[2],[1]grand_divisor[3],[1]grand_divisor[4],[1]grand_divisor[5],[1]grand_divisor[6],[1]grand_divisor[7],[1]grand_divisor[8],[1]grand_divisor[9],[1]grand_divisor[10],[1]grand_divisor[11],[1]grand_divisor[12],[1]grand_divisor[13],[1]grand_divisor[14],[1]grand_divisor[15],[1]grand_divisor[16],[1]grand_divisor[17],[1]grand_divisor[18],[1]grand_divisor[19],[1]grand_divisor[20],[1]grand_divisor[21],[1]grand_divisor[22],[1]quotient_reg[0],[1]quotient_reg[1],[1]quotient_reg[2],[1]quotient_reg[3],[1]quotient_reg[4],[1]quotient_reg[5],[1]quotient_reg[6],[1]quotient_reg[7],[1]quotient_reg[8],[1]quotient_reg[9],[1]quotient_reg[10],[1]quotient_reg[11],[1]quotient_reg[12],[1]quotient_reg[13],[1]quotient_reg[14],[1]quotient_reg[15]
1,1,0,0,1,0,0,1,1,1,2,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,0,1,1,0,0,0,1,1,2,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,1,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1,1,0,1,0,1,1,1,1,1,2,0,1,1,0,1,1,1,0,1,0,0,0,1,1,1,1,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,1,0,0,1,1,0,1,1,0,1,1,1,1,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,1,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,0,0,1,0,0,1,1,1,2,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1,0,1,1,1,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,1,0,1,1,1,1,0,1,0,0,1,0,1,1,2,2,2,2,2,2,2,2,0,0,0,0,0,0,1,0,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,0,1,1,0,1,1,1,0,1,0,0,0,1,1,1,1,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,1,0,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,0,1,0,1,1,1,1,1,2,0,1,1,0,1,1,1,0,1,0,0,0,1,1,1,1,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,1,0,0,1,1,0,1,1,0,1,1,1,1,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,1,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1,0,0,1,1,1,0,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,1,0,1,1,0,1,1,1,0,0,0,0,1,1,2,2,2,2,2,2,2,2,0,0,0,0,0,1,0,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,0,1,1,0,1,1,1,1,0,1,0,0,1,0,1,1,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,1,0,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1,0,1,1,1,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,1,0,1,1,1,1,0,1,0,0,1,0,1,1,2,2,2,2,2,2,2,2,0,0,0,0,0,0,1,0,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,0,1,1,0,1,1,1,0,1,0,0,0,1,1,1,1,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,1,0,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
0,1,0,0,1,1,1,0,0,1,1,0,1,0,0,1,1,1,1,1,0,0,1,0,1,1,1,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,1,0,1,0,0,0,0,0,1,1,1,1,0,1,2,2,2,2,2,2,2,2,0,0,0,0,1,0,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,0,1,2,2,2,0,1,1,0,1,1,0,1,1,1,0,0,0,0,1,1,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,1,0,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,0,1,1,1,0,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,1,0,1,1,0,1,1,1,0,0,0,0,1,1,2,2,2,2,2,2,2,2,0,0,0,0,0,1,0,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,0,1,1,0,1,1,1,1,0,1,0,0,1,0,1,1,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,1,0,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
0,1,0,1,0,1,1,1,1,0,1,0,0,1,1,1,0,1,0,1,0,0,1,0,0,1,1,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,1,0,1,0,0,0,0,0,1,1,1,1,0,1,2,2,2,2,2,2,2,2,0,0,0,0,1,0,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,0,1,2,2,2,0,1,1,0,1,1,0,1,1,1,0,0,0,0,1,1,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,1,0,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,0,0,1,1,1,0,0,1,1,0,1,0,0,1,1,1,1,1,0,0,1,0,1,1,1,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,1,0,1,0,0,0,0,0,1,1,1,1,0,1,2,2,2,2,2,2,2,2,0,0,0,0,1,0,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,0,1,2,2,2,0,1,1,0,1,1,0,1,1,1,0,0,0,0,1,1,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,1,0,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1,1,0,0,1,0,1,1,1,0,1,1,1,0,0,0,1,1,0,0,1,0,0,0,1,1,1,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,1,0,1,0,0,0,0,0,1,1,1,1,0,1,2,2,2,2,2,2,2,2,0,0,0,0,1,0,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,0,1,2,2,2,0,1,1,0,1,1,0,1,1,1,0,0,0,0,1,1,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,1,0,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,0,1,0,1,1,1,1,0,1,0,0,1,1,1,0,1,0,1,0,0,1,0,0,1,1,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,1,0,1,0,0,0,0,0,1,1,1,1,0,1,2,2,2,2,2,2,2,2,0,0,0,0,1,0,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,0,1,2,2,2,0,1,1,0,1,1,0,1,1,1,0,0,0,0,1,1,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,1,0,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
0,0,0,1,0,1,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,0,1,1,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,0,0,0,1,1,0,1,0,1,1,1,0,1,1,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,1,0,1,1,1,2,2,2,2,2,2,2,2,2,2,2,0,1,2,2,2,1,1,0,0,0,1,1,0,0,1,0,0,0,1,1,1,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,0,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,0,0,1,0,1,1,1,0,1,1,1,0,0,0,1,1,0,0,1,0,0,0,1,1,1,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,1,0,1,0,0,0,0,0,1,1,1,1,0,1,2,2,2,2,2,2,2,2,0,0,0,0,1,0,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,0,1,2,2,2,0,1,1,0,1,1,0,1,1,1,0,0,0,0,1,1,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,1,0,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
0,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,0,0,0,1,1,0,1,0,1,1,1,0,1,1,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,1,0,1,1,1,2,2,2,2,2,2,2,2,2,2,2,0,1,2,2,2,1,1,0,0,0,1,1,0,0,1,0,0,0,1,1,1,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,0,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,1,0,1,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,0,1,1,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,0,0,0,1,1,0,1,0,1,1,1,0,1,1,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,1,0,1,1,1,2,2,2,2,2,2,2,2,2,2,2,0,1,2,2,2,1,1,0,0,0,1,1,0,0,1,0,0,0,1,1,1,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,0,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1,1,0,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,0,0,0,1,1,0,1,0,1,1,1,0,1,1,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,1,0,1,1,1,2,2,2,2,2,2,2,2,2,2,2,0,1,2,2,2,1,1,0,0,0,1,1,0,0,1,0,0,0,1,1,1,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,0,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,0,0,0,1,1,0,1,0,1,1,1,0,1,1,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,1,0,1,1,1,2,2,2,2,2,2,2,2,2,2,2,0,1,2,2,2,1,1,0,0,0,1,1,0,0,1,0,0,0,1,1,1,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,0,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
