clk,rst_n,d_in[0],d_in[1],d_in[2],d_in[3],d_out[0],d_out[1],d_out[2],d_out[3],q1[0],q1[1],q1[2],q1[3],[1]clk,[1]rst_n,[1]d_in[0],[1]d_in[1],[1]d_in[2],[1]d_in[3],[1]d_out[0],[1]d_out[1],[1]d_out[2],[1]d_out[3],[1]q1[0],[1]q1[1],[1]q1[2],[1]q1[3],[2]clk,[2]rst_n,[2]d_in[0],[2]d_in[1],[2]d_in[2],[2]d_in[3],[2]d_out[0],[2]d_out[1],[2]d_out[2],[2]d_out[3],[2]q1[0],[2]q1[1],[2]q1[2],[2]q1[3],[3]clk,[3]rst_n,[3]d_in[0],[3]d_in[1],[3]d_in[2],[3]d_in[3],[3]d_out[0],[3]d_out[1],[3]d_out[2],[3]d_out[3],[3]q1[0],[3]q1[1],[3]q1[2],[3]q1[3]
0,0,1,1,0,1,0,2,2,2,0,2,2,2,0,0,1,0,0,1,0,2,2,2,0,2,2,2,0,0,1,0,1,2,0,2,2,2,0,2,2,2,0,0,0,0,1,2,2,2,2,2,2,2,2,2
0,0,1,0,1,1,0,2,2,2,0,2,2,2,0,0,1,1,0,1,0,2,2,2,0,2,2,2,0,0,1,0,0,1,0,2,2,2,0,2,2,2,0,0,1,0,1,2,0,2,2,2,0,2,2,2
0,0,1,0,1,1,0,2,2,2,0,2,2,2,0,0,1,0,1,1,0,2,2,2,0,2,2,2,0,0,1,1,0,1,0,2,2,2,0,2,2,2,0,0,1,0,0,1,0,2,2,2,0,2,2,2
0,0,1,0,1,1,0,2,2,2,0,2,2,2,0,0,1,0,1,1,0,2,2,2,0,2,2,2,0,0,1,0,1,1,0,2,2,2,0,2,2,2,0,0,1,1,0,1,0,2,2,2,0,2,2,2
0,0,0,1,1,1,0,2,2,2,0,2,2,2,0,0,1,0,1,1,0,2,2,2,0,2,2,2,0,0,1,0,1,1,0,2,2,2,0,2,2,2,0,0,1,0,1,1,0,2,2,2,0,2,2,2
0,0,1,1,1,1,0,2,2,2,0,2,2,2,0,0,0,1,1,1,0,2,2,2,0,2,2,2,0,0,1,0,1,1,0,2,2,2,0,2,2,2,0,0,1,0,1,1,0,2,2,2,0,2,2,2
0,0,1,0,1,1,0,2,2,2,0,2,2,2,0,0,1,1,1,1,0,2,2,2,0,2,2,2,0,0,0,1,1,1,0,2,2,2,0,2,2,2,0,0,1,0,1,1,0,2,2,2,0,2,2,2
0,0,0,1,1,1,0,2,2,2,0,2,2,2,0,0,1,0,1,1,0,2,2,2,0,2,2,2,0,0,1,1,1,1,0,2,2,2,0,2,2,2,0,0,0,1,1,1,0,2,2,2,0,2,2,2
0,0,1,0,1,1,0,2,2,2,0,2,2,2,0,0,0,1,1,1,0,2,2,2,0,2,2,2,0,0,1,0,1,1,0,2,2,2,0,2,2,2,0,0,1,1,1,1,0,2,2,2,0,2,2,2
0,0,1,0,1,1,0,2,2,2,0,2,2,2,0,0,1,0,1,1,0,2,2,2,0,2,2,2,0,0,0,1,1,1,0,2,2,2,0,2,2,2,0,0,1,0,1,1,0,2,2,2,0,2,2,2
0,0,0,0,1,1,0,2,2,2,0,2,2,2,0,0,1,0,1,1,0,2,2,2,0,2,2,2,0,0,1,0,1,1,0,2,2,2,0,2,2,2,0,0,0,1,1,1,0,2,2,2,0,2,2,2
0,0,1,0,0,1,0,2,2,2,0,2,2,2,0,0,0,0,1,1,0,2,2,2,0,2,2,2,0,0,1,0,1,1,0,2,2,2,0,2,2,2,0,0,1,0,1,1,0,2,2,2,0,2,2,2
0,0,0,1,1,1,0,2,2,2,0,2,2,2,0,0,1,0,0,1,0,2,2,2,0,2,2,2,0,0,0,0,1,1,0,2,2,2,0,2,2,2,0,0,1,0,1,1,0,2,2,2,0,2,2,2
