Col,Gtx_clk,Crs,Rx_er,Rx_dv,Speed[0],Speed[1],Speed[2],Rxd[0],Rxd[1],Rxd[2],Rxd[3],Rxd[4],Rxd[5],Rxd[6],Rxd[7],Tx_er,Tx_en,Tx_clk,Txd[0],Txd[1],Txd[2],Txd[3],Txd[4],Txd[5],Txd[6],Txd[7],Clk_25m,Rx_clk,Clk_2_5m,[1]Col,[1]Gtx_clk,[1]Crs,[1]Rx_er,[1]Rx_dv,[1]Speed[0],[1]Speed[1],[1]Speed[2],[1]Rxd[0],[1]Rxd[1],[1]Rxd[2],[1]Rxd[3],[1]Rxd[4],[1]Rxd[5],[1]Rxd[6],[1]Rxd[7],[1]Tx_er,[1]Tx_en,[1]Tx_clk,[1]Txd[0],[1]Txd[1],[1]Txd[2],[1]Txd[3],[1]Txd[4],[1]Txd[5],[1]Txd[6],[1]Txd[7],[1]Clk_25m,[1]Rx_clk,[1]Clk_2_5m
0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,2,1,0,0,1,0,1,0,0,1,1,2,1,0,2,0,0,1,0,1,1,2,2,1,0,0,1,2,2,2,2,0,1,2,1,0,0,1,2,2,2,2,1,2,2
0,0,1,0,1,1,0,1,0,1,1,0,1,1,1,2,1,1,0,0,1,1,0,1,1,1,2,0,0,2,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,2,1,0,0,1,0,1,0,0,1,1,2,1,0,2
0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,0,0,2,0,0,1,0,1,1,0,1,0,1,1,0,1,1,1,2,1,1,0,0,1,1,0,1,1,1,2,0,0,2
0,0,1,0,1,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,0,0,2
0,0,0,0,0,1,1,1,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,1,0,1,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,0
0,0,1,0,1,1,0,1,0,0,1,1,1,0,1,1,0,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,1,0,0
0,0,0,0,0,1,0,1,1,1,0,0,0,1,1,1,1,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,1,1,0,1,0,0,0,1,1,1,0,1,1,0,0,0
0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,1,1,1,1,0,0,1,1,0,0,0,1,1,1,0,0,0
0,0,1,0,1,1,1,1,1,0,1,1,0,1,0,1,0,1,1,1,0,1,1,0,1,0,1,1,1,1,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,1,0,1
0,0,0,0,0,1,0,1,0,1,1,1,0,1,0,1,1,0,0,0,1,1,1,0,1,0,1,0,0,1,0,0,1,0,1,1,1,1,1,0,1,1,0,1,0,1,0,1,1,1,0,1,1,0,1,0,1,1,1,1
0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,1,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1,0,1,0,1,1,0,0,0,1,1,1,0,1,0,1,0,0,1
0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,1,1,0,0,1,1,0,0,0,1,0,1,0,0,1
0,0,1,0,1,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,1,0,0
0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0
0,0,1,0,1,0,1,1,1,1,0,1,0,0,1,1,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0
0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,0,1,0,0,1,0,1,0,1,1,1,1,0,1,0,0,1,1,0,1,0,1,1,0,1,0,0,1,1,0,0,0
