clk48,new_byte_available,manchester_data_in,RcvStart,RcvData[0],RcvData[1],RcvData[2],RcvData[3],RcvData[4],RcvData[5],RcvData[6],RcvData[7],cnt[0],cnt[1],RcvStop,in_data[0],in_data[1],in_data[2],end_of_Ethernet_frame,sync1[0],sync1[1],sync1[2],sync1[3],sync1[4],new_bit_available,transition_timeout[0],transition_timeout[1],transition_timeout[2],sync2[0],sync2[1],sync2[2],sync2[3],sync2[4],sync2[5],sync2[6],sync2[7],sync2[8],sync2[9],[1]clk48,[1]new_byte_available,[1]manchester_data_in,[1]RcvStart,[1]RcvData[0],[1]RcvData[1],[1]RcvData[2],[1]RcvData[3],[1]RcvData[4],[1]RcvData[5],[1]RcvData[6],[1]RcvData[7],[1]cnt[0],[1]cnt[1],[1]RcvStop,[1]in_data[0],[1]in_data[1],[1]in_data[2],[1]end_of_Ethernet_frame,[1]sync1[0],[1]sync1[1],[1]sync1[2],[1]sync1[3],[1]sync1[4],[1]new_bit_available,[1]transition_timeout[0],[1]transition_timeout[1],[1]transition_timeout[2],[1]sync2[0],[1]sync2[1],[1]sync2[2],[1]sync2[3],[1]sync2[4],[1]sync2[5],[1]sync2[6],[1]sync2[7],[1]sync2[8],[1]sync2[9],[2]clk48,[2]new_byte_available,[2]manchester_data_in,[2]RcvStart,[2]RcvData[0],[2]RcvData[1],[2]RcvData[2],[2]RcvData[3],[2]RcvData[4],[2]RcvData[5],[2]RcvData[6],[2]RcvData[7],[2]cnt[0],[2]cnt[1],[2]RcvStop,[2]in_data[0],[2]in_data[1],[2]in_data[2],[2]end_of_Ethernet_frame,[2]sync1[0],[2]sync1[1],[2]sync1[2],[2]sync1[3],[2]sync1[4],[2]new_bit_available,[2]transition_timeout[0],[2]transition_timeout[1],[2]transition_timeout[2],[2]sync2[0],[2]sync2[1],[2]sync2[2],[2]sync2[3],[2]sync2[4],[2]sync2[5],[2]sync2[6],[2]sync2[7],[2]sync2[8],[2]sync2[9],[3]clk48,[3]new_byte_available,[3]manchester_data_in,[3]RcvStart,[3]RcvData[0],[3]RcvData[1],[3]RcvData[2],[3]RcvData[3],[3]RcvData[4],[3]RcvData[5],[3]RcvData[6],[3]RcvData[7],[3]cnt[0],[3]cnt[1],[3]RcvStop,[3]in_data[0],[3]in_data[1],[3]in_data[2],[3]end_of_Ethernet_frame,[3]sync1[0],[3]sync1[1],[3]sync1[2],[3]sync1[3],[3]sync1[4],[3]new_bit_available,[3]transition_timeout[0],[3]transition_timeout[1],[3]transition_timeout[2],[3]sync2[0],[3]sync2[1],[3]sync2[2],[3]sync2[3],[3]sync2[4],[3]sync2[5],[3]sync2[6],[3]sync2[7],[3]sync2[8],[3]sync2[9]
0,0,1,0,0,2,2,2,2,2,2,2,0,2,0,1,1,2,0,0,2,2,2,2,0,0,0,1,0,2,2,2,2,2,2,2,2,2,0,0,1,0,0,2,2,2,2,2,2,2,0,2,0,1,0,2,0,0,2,2,2,2,0,1,1,2,0,2,2,2,2,2,2,2,2,2,0,0,1,0,0,2,2,2,2,2,2,2,0,2,0,0,2,0,0,0,2,2,2,2,0,0,1,2,0,2,2,2,2,2,2,2,2,2,0,0,0,0,0,2,2,2,2,2,2,2,0,2,0,2,0,2,0,0,2,2,2,2,0,1,2,2,0,2,2,2,2,2,2,2,2,2
0,0,1,0,0,2,2,2,2,2,2,2,1,2,0,1,1,1,0,0,2,2,2,2,0,0,0,1,0,2,2,2,2,2,2,2,2,2,0,0,1,0,0,2,2,2,2,2,2,2,0,2,0,1,1,2,0,0,2,2,2,2,0,0,0,1,0,2,2,2,2,2,2,2,2,2,0,0,1,0,0,2,2,2,2,2,2,2,0,2,0,1,0,2,0,0,2,2,2,2,0,1,1,2,0,2,2,2,2,2,2,2,2,2,0,0,1,0,0,2,2,2,2,2,2,2,0,2,0,0,2,0,0,0,2,2,2,2,0,0,1,2,0,2,2,2,2,2,2,2,2,2
0,0,1,0,0,2,2,2,2,2,2,2,0,1,0,1,1,1,0,0,2,2,2,2,0,1,0,1,0,2,2,2,2,2,2,2,2,2,0,0,1,0,0,2,2,2,2,2,2,2,1,2,0,1,1,1,0,0,2,2,2,2,0,0,0,1,0,2,2,2,2,2,2,2,2,2,0,0,1,0,0,2,2,2,2,2,2,2,0,2,0,1,1,2,0,0,2,2,2,2,0,0,0,1,0,2,2,2,2,2,2,2,2,2,0,0,1,0,0,2,2,2,2,2,2,2,0,2,0,1,0,2,0,0,2,2,2,2,0,1,1,2,0,2,2,2,2,2,2,2,2,2
0,0,1,0,0,2,2,2,2,2,2,2,1,1,0,1,1,1,0,0,2,2,2,2,0,0,1,1,0,2,2,2,2,2,2,2,2,2,0,0,1,0,0,2,2,2,2,2,2,2,0,1,0,1,1,1,0,0,2,2,2,2,0,1,0,1,0,2,2,2,2,2,2,2,2,2,0,0,1,0,0,2,2,2,2,2,2,2,1,2,0,1,1,1,0,0,2,2,2,2,0,0,0,1,0,2,2,2,2,2,2,2,2,2,0,0,1,0,0,2,2,2,2,2,2,2,0,2,0,1,1,2,0,0,2,2,2,2,0,0,0,1,0,2,2,2,2,2,2,2,2,2
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,2,2,2,2,1,0,1,1,0,2,2,2,2,2,2,2,2,2,0,0,1,0,0,2,2,2,2,2,2,2,1,1,0,1,1,1,0,0,2,2,2,2,0,0,1,1,0,2,2,2,2,2,2,2,2,2,0,0,1,0,0,2,2,2,2,2,2,2,0,1,0,1,1,1,0,0,2,2,2,2,0,1,0,1,0,2,2,2,2,2,2,2,2,2,0,0,1,0,0,2,2,2,2,2,2,2,1,2,0,1,1,1,0,0,2,2,2,2,0,0,0,1,0,2,2,2,2,2,2,2,2,2
0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,2,2,2,2,0,1,1,1,0,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,2,2,2,2,1,0,1,1,0,2,2,2,2,2,2,2,2,2,0,0,1,0,0,2,2,2,2,2,2,2,1,1,0,1,1,1,0,0,2,2,2,2,0,0,1,1,0,2,2,2,2,2,2,2,2,2,0,0,1,0,0,2,2,2,2,2,2,2,0,1,0,1,1,1,0,0,2,2,2,2,0,1,0,1,0,2,2,2,2,2,2,2,2,2
0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,2,2,2,2,0,0,0,1,0,2,2,2,2,2,2,2,2,2,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,2,2,2,2,0,1,1,1,0,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,2,2,2,2,1,0,1,1,0,2,2,2,2,2,2,2,2,2,0,0,1,0,0,2,2,2,2,2,2,2,1,1,0,1,1,1,0,0,2,2,2,2,0,0,1,1,0,2,2,2,2,2,2,2,2,2
0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,2,2,2,2,0,0,0,1,0,2,2,2,2,2,2,2,2,2,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,2,2,2,2,0,0,0,1,0,2,2,2,2,2,2,2,2,2,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,2,2,2,2,0,1,1,1,0,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,2,2,2,2,1,0,1,1,0,2,2,2,2,2,2,2,2,2
0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,2,2,2,2,0,0,0,1,0,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,2,2,2,2,0,0,0,1,0,2,2,2,2,2,2,2,2,2,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,2,2,2,2,0,0,0,1,0,2,2,2,2,2,2,2,2,2,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,2,2,2,2,0,1,1,1,0,2,2,2,2,2,2,2,2,2
0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,2,2,2,2,0,1,0,1,0,2,2,2,2,2,2,2,2,2,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,2,2,2,2,0,0,0,1,0,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,2,2,2,2,0,0,0,1,0,2,2,2,2,2,2,2,2,2,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,2,2,2,2,0,0,0,1,0,2,2,2,2,2,2,2,2,2
