DEFAULT_CLOCK,XORsel,ORsel,carry_in,XandY[0],XandY[1],XandY[2],XandY[3],XandY[4],XandY[5],XandY[6],XandY[7],XxorY[0],XxorY[1],XxorY[2],XxorY[3],XxorY[4],XxorY[5],XxorY[6],XxorY[7],XorY[0],XorY[1],XorY[2],XorY[3],XorY[4],XorY[5],XorY[6],XorY[7],or_result[0],or_result[1],or_result[2],or_result[3],or_result[4],or_result[5],or_result[6],or_result[7],and_result[0],and_result[1],and_result[2],and_result[3],and_result[4],and_result[5],and_result[6],and_result[7],xor_result[0],xor_result[1],xor_result[2],xor_result[3],xor_result[4],xor_result[5],xor_result[6],xor_result[7],x[0],x[1],x[2],x[3],x[4],x[5],x[6],x[7],y[0],y[1],y[2],y[3],y[4],y[5],y[6],y[7],z[0],z[1],z[2],z[3],z[4],z[5],z[6],z[7],carry_out[0],carry_out[1],carry_out[2],carry_out[3],carry_out[4],carry_out[5],carry_out[6],carry_out[7],carry_out[8]
0,1,1,1,0,2,2,2,2,2,2,2,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,2,2,2,2,2,2,2,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,2,2,0,1,1,1,0,1,1,1,1,1,0,1,0,0,1,0,1
0,1,0,1,1,0,1,2,2,2,2,2,0,0,0,1,0,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,0,1,2,2,2,2,2,0,0,0,1,0,1,1,1,1,0,1,0,0,1,1,1,1,0,1,1,0,0,0,1,1,1,0,0,1,1,1,1,1,1,0,1,1,0,1,0,1
0,1,1,0,0,0,1,0,1,1,2,2,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,2,2,1,1,0,1,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1
0,1,0,1,0,0,1,0,0,0,1,1,1,1,0,1,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1,0,0,1,0,0,0,1,1,1,1,0,1,0,0,1,1,1,0,1,0,0,0,1,1,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1
0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,0,0,1,0,1,0,0,1,0,1,1,1,0,1,1,1,0,0,1,0,0,1,1,1,1,0,1,1
0,1,1,1,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,1,0,0,1,1,1,0,1,1,1,0,1,0,0,0,1,1,0,1,0,0,0,1,0,1,1,1,0,1,1,1,0,1,1
0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1,0,1,1,0,0,0,1,1,1,0,0,1,0,1,1,1,0,1,0,1,1,0,1,1,1,1,0,0,0,1,1,1,1,0,0,1,0,1,1,1,0,0,1,1,1,1,0,1,1
0,1,1,1,0,0,1,0,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,0,0,1,0,1,0,0,1,1,1,0,1,0,1,1,1,0,1,1,0,1,0,0,1,1,0,1,1,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1
0,1,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,1,1,0,1,0,1,0,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1
0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,1,0,0,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1
