ERROR,INT_TX,INT_RX,PCLK,PADDR[0],PADDR[1],PADDR[2],PADDR[3],PADDR[4],PADDR[5],PADDR[6],PADDR[7],PADDR[8],PADDR[9],PADDR[10],PADDR[11],PADDR[12],PADDR[13],PADDR[14],PADDR[15],PADDR[16],PADDR[17],PADDR[18],PADDR[19],PADDR[20],PADDR[21],PADDR[22],PADDR[23],PADDR[24],PADDR[25],PADDR[26],PADDR[27],PADDR[28],PADDR[29],PADDR[30],PADDR[31],PRESETn,PENABLE,PSLVERR,PSELx,PWRITE,PWDATA[0],PWDATA[1],PWDATA[2],PWDATA[3],PWDATA[4],PWDATA[5],PWDATA[6],PWDATA[7],PWDATA[8],PWDATA[9],PWDATA[10],PWDATA[11],PWDATA[12],PWDATA[13],PWDATA[14],PWDATA[15],PWDATA[16],PWDATA[17],PWDATA[18],PWDATA[19],PWDATA[20],PWDATA[21],PWDATA[22],PWDATA[23],PWDATA[24],PWDATA[25],PWDATA[26],PWDATA[27],PWDATA[28],PWDATA[29],PWDATA[30],PWDATA[31],RX_EMPTY,READ_DATA_ON_RX[0],READ_DATA_ON_RX[1],READ_DATA_ON_RX[2],READ_DATA_ON_RX[3],READ_DATA_ON_RX[4],READ_DATA_ON_RX[5],READ_DATA_ON_RX[6],READ_DATA_ON_RX[7],READ_DATA_ON_RX[8],READ_DATA_ON_RX[9],READ_DATA_ON_RX[10],READ_DATA_ON_RX[11],READ_DATA_ON_RX[12],READ_DATA_ON_RX[13],READ_DATA_ON_RX[14],READ_DATA_ON_RX[15],READ_DATA_ON_RX[16],READ_DATA_ON_RX[17],READ_DATA_ON_RX[18],READ_DATA_ON_RX[19],READ_DATA_ON_RX[20],READ_DATA_ON_RX[21],READ_DATA_ON_RX[22],READ_DATA_ON_RX[23],READ_DATA_ON_RX[24],READ_DATA_ON_RX[25],READ_DATA_ON_RX[26],READ_DATA_ON_RX[27],READ_DATA_ON_RX[28],READ_DATA_ON_RX[29],READ_DATA_ON_RX[30],READ_DATA_ON_RX[31],WR_ENA,TX_EMPTY,RD_ENA,WRITE_DATA_ON_TX[0],WRITE_DATA_ON_TX[1],WRITE_DATA_ON_TX[2],WRITE_DATA_ON_TX[3],WRITE_DATA_ON_TX[4],WRITE_DATA_ON_TX[5],WRITE_DATA_ON_TX[6],WRITE_DATA_ON_TX[7],WRITE_DATA_ON_TX[8],WRITE_DATA_ON_TX[9],WRITE_DATA_ON_TX[10],WRITE_DATA_ON_TX[11],WRITE_DATA_ON_TX[12],WRITE_DATA_ON_TX[13],WRITE_DATA_ON_TX[14],WRITE_DATA_ON_TX[15],WRITE_DATA_ON_TX[16],WRITE_DATA_ON_TX[17],WRITE_DATA_ON_TX[18],WRITE_DATA_ON_TX[19],WRITE_DATA_ON_TX[20],WRITE_DATA_ON_TX[21],WRITE_DATA_ON_TX[22],WRITE_DATA_ON_TX[23],WRITE_DATA_ON_TX[24],WRITE_DATA_ON_TX[25],WRITE_DATA_ON_TX[26],WRITE_DATA_ON_TX[27],WRITE_DATA_ON_TX[28],WRITE_DATA_ON_TX[29],WRITE_DATA_ON_TX[30],WRITE_DATA_ON_TX[31],PRDATA[0],PRDATA[1],PRDATA[2],PRDATA[3],PRDATA[4],PRDATA[5],PRDATA[6],PRDATA[7],PRDATA[8],PRDATA[9],PRDATA[10],PRDATA[11],PRDATA[12],PRDATA[13],PRDATA[14],PRDATA[15],PRDATA[16],PRDATA[17],PRDATA[18],PRDATA[19],PRDATA[20],PRDATA[21],PRDATA[22],PRDATA[23],PRDATA[24],PRDATA[25],PRDATA[26],PRDATA[27],PRDATA[28],PRDATA[29],PRDATA[30],PRDATA[31],PREADY,INTERNAL_I2C_REGISTER_TIMEOUT[0],INTERNAL_I2C_REGISTER_TIMEOUT[1],INTERNAL_I2C_REGISTER_TIMEOUT[2],INTERNAL_I2C_REGISTER_TIMEOUT[3],INTERNAL_I2C_REGISTER_TIMEOUT[4],INTERNAL_I2C_REGISTER_TIMEOUT[5],INTERNAL_I2C_REGISTER_TIMEOUT[6],INTERNAL_I2C_REGISTER_TIMEOUT[7],INTERNAL_I2C_REGISTER_TIMEOUT[8],INTERNAL_I2C_REGISTER_TIMEOUT[9],INTERNAL_I2C_REGISTER_TIMEOUT[10],INTERNAL_I2C_REGISTER_TIMEOUT[11],INTERNAL_I2C_REGISTER_TIMEOUT[12],INTERNAL_I2C_REGISTER_TIMEOUT[13],INTERNAL_I2C_REGISTER_CONFIG[0],INTERNAL_I2C_REGISTER_CONFIG[1],INTERNAL_I2C_REGISTER_CONFIG[2],INTERNAL_I2C_REGISTER_CONFIG[3],INTERNAL_I2C_REGISTER_CONFIG[4],INTERNAL_I2C_REGISTER_CONFIG[5],INTERNAL_I2C_REGISTER_CONFIG[6],INTERNAL_I2C_REGISTER_CONFIG[7],INTERNAL_I2C_REGISTER_CONFIG[8],INTERNAL_I2C_REGISTER_CONFIG[9],INTERNAL_I2C_REGISTER_CONFIG[10],INTERNAL_I2C_REGISTER_CONFIG[11],INTERNAL_I2C_REGISTER_CONFIG[12],INTERNAL_I2C_REGISTER_CONFIG[13],[1]ERROR,[1]INT_TX,[1]INT_RX,[1]PCLK,[1]PADDR[0],[1]PADDR[1],[1]PADDR[2],[1]PADDR[3],[1]PADDR[4],[1]PADDR[5],[1]PADDR[6],[1]PADDR[7],[1]PADDR[8],[1]PADDR[9],[1]PADDR[10],[1]PADDR[11],[1]PADDR[12],[1]PADDR[13],[1]PADDR[14],[1]PADDR[15],[1]PADDR[16],[1]PADDR[17],[1]PADDR[18],[1]PADDR[19],[1]PADDR[20],[1]PADDR[21],[1]PADDR[22],[1]PADDR[23],[1]PADDR[24],[1]PADDR[25],[1]PADDR[26],[1]PADDR[27],[1]PADDR[28],[1]PADDR[29],[1]PADDR[30],[1]PADDR[31],[1]PRESETn,[1]PENABLE,[1]PSLVERR,[1]PSELx,[1]PWRITE,[1]PWDATA[0],[1]PWDATA[1],[1]PWDATA[2],[1]PWDATA[3],[1]PWDATA[4],[1]PWDATA[5],[1]PWDATA[6],[1]PWDATA[7],[1]PWDATA[8],[1]PWDATA[9],[1]PWDATA[10],[1]PWDATA[11],[1]PWDATA[12],[1]PWDATA[13],[1]PWDATA[14],[1]PWDATA[15],[1]PWDATA[16],[1]PWDATA[17],[1]PWDATA[18],[1]PWDATA[19],[1]PWDATA[20],[1]PWDATA[21],[1]PWDATA[22],[1]PWDATA[23],[1]PWDATA[24],[1]PWDATA[25],[1]PWDATA[26],[1]PWDATA[27],[1]PWDATA[28],[1]PWDATA[29],[1]PWDATA[30],[1]PWDATA[31],[1]RX_EMPTY,[1]READ_DATA_ON_RX[0],[1]READ_DATA_ON_RX[1],[1]READ_DATA_ON_RX[2],[1]READ_DATA_ON_RX[3],[1]READ_DATA_ON_RX[4],[1]READ_DATA_ON_RX[5],[1]READ_DATA_ON_RX[6],[1]READ_DATA_ON_RX[7],[1]READ_DATA_ON_RX[8],[1]READ_DATA_ON_RX[9],[1]READ_DATA_ON_RX[10],[1]READ_DATA_ON_RX[11],[1]READ_DATA_ON_RX[12],[1]READ_DATA_ON_RX[13],[1]READ_DATA_ON_RX[14],[1]READ_DATA_ON_RX[15],[1]READ_DATA_ON_RX[16],[1]READ_DATA_ON_RX[17],[1]READ_DATA_ON_RX[18],[1]READ_DATA_ON_RX[19],[1]READ_DATA_ON_RX[20],[1]READ_DATA_ON_RX[21],[1]READ_DATA_ON_RX[22],[1]READ_DATA_ON_RX[23],[1]READ_DATA_ON_RX[24],[1]READ_DATA_ON_RX[25],[1]READ_DATA_ON_RX[26],[1]READ_DATA_ON_RX[27],[1]READ_DATA_ON_RX[28],[1]READ_DATA_ON_RX[29],[1]READ_DATA_ON_RX[30],[1]READ_DATA_ON_RX[31],[1]WR_ENA,[1]TX_EMPTY,[1]RD_ENA,[1]WRITE_DATA_ON_TX[0],[1]WRITE_DATA_ON_TX[1],[1]WRITE_DATA_ON_TX[2],[1]WRITE_DATA_ON_TX[3],[1]WRITE_DATA_ON_TX[4],[1]WRITE_DATA_ON_TX[5],[1]WRITE_DATA_ON_TX[6],[1]WRITE_DATA_ON_TX[7],[1]WRITE_DATA_ON_TX[8],[1]WRITE_DATA_ON_TX[9],[1]WRITE_DATA_ON_TX[10],[1]WRITE_DATA_ON_TX[11],[1]WRITE_DATA_ON_TX[12],[1]WRITE_DATA_ON_TX[13],[1]WRITE_DATA_ON_TX[14],[1]WRITE_DATA_ON_TX[15],[1]WRITE_DATA_ON_TX[16],[1]WRITE_DATA_ON_TX[17],[1]WRITE_DATA_ON_TX[18],[1]WRITE_DATA_ON_TX[19],[1]WRITE_DATA_ON_TX[20],[1]WRITE_DATA_ON_TX[21],[1]WRITE_DATA_ON_TX[22],[1]WRITE_DATA_ON_TX[23],[1]WRITE_DATA_ON_TX[24],[1]WRITE_DATA_ON_TX[25],[1]WRITE_DATA_ON_TX[26],[1]WRITE_DATA_ON_TX[27],[1]WRITE_DATA_ON_TX[28],[1]WRITE_DATA_ON_TX[29],[1]WRITE_DATA_ON_TX[30],[1]WRITE_DATA_ON_TX[31],[1]PRDATA[0],[1]PRDATA[1],[1]PRDATA[2],[1]PRDATA[3],[1]PRDATA[4],[1]PRDATA[5],[1]PRDATA[6],[1]PRDATA[7],[1]PRDATA[8],[1]PRDATA[9],[1]PRDATA[10],[1]PRDATA[11],[1]PRDATA[12],[1]PRDATA[13],[1]PRDATA[14],[1]PRDATA[15],[1]PRDATA[16],[1]PRDATA[17],[1]PRDATA[18],[1]PRDATA[19],[1]PRDATA[20],[1]PRDATA[21],[1]PRDATA[22],[1]PRDATA[23],[1]PRDATA[24],[1]PRDATA[25],[1]PRDATA[26],[1]PRDATA[27],[1]PRDATA[28],[1]PRDATA[29],[1]PRDATA[30],[1]PRDATA[31],[1]PREADY,[1]INTERNAL_I2C_REGISTER_TIMEOUT[0],[1]INTERNAL_I2C_REGISTER_TIMEOUT[1],[1]INTERNAL_I2C_REGISTER_TIMEOUT[2],[1]INTERNAL_I2C_REGISTER_TIMEOUT[3],[1]INTERNAL_I2C_REGISTER_TIMEOUT[4],[1]INTERNAL_I2C_REGISTER_TIMEOUT[5],[1]INTERNAL_I2C_REGISTER_TIMEOUT[6],[1]INTERNAL_I2C_REGISTER_TIMEOUT[7],[1]INTERNAL_I2C_REGISTER_TIMEOUT[8],[1]INTERNAL_I2C_REGISTER_TIMEOUT[9],[1]INTERNAL_I2C_REGISTER_TIMEOUT[10],[1]INTERNAL_I2C_REGISTER_TIMEOUT[11],[1]INTERNAL_I2C_REGISTER_TIMEOUT[12],[1]INTERNAL_I2C_REGISTER_TIMEOUT[13],[1]INTERNAL_I2C_REGISTER_CONFIG[0],[1]INTERNAL_I2C_REGISTER_CONFIG[1],[1]INTERNAL_I2C_REGISTER_CONFIG[2],[1]INTERNAL_I2C_REGISTER_CONFIG[3],[1]INTERNAL_I2C_REGISTER_CONFIG[4],[1]INTERNAL_I2C_REGISTER_CONFIG[5],[1]INTERNAL_I2C_REGISTER_CONFIG[6],[1]INTERNAL_I2C_REGISTER_CONFIG[7],[1]INTERNAL_I2C_REGISTER_CONFIG[8],[1]INTERNAL_I2C_REGISTER_CONFIG[9],[1]INTERNAL_I2C_REGISTER_CONFIG[10],[1]INTERNAL_I2C_REGISTER_CONFIG[11],[1]INTERNAL_I2C_REGISTER_CONFIG[12],[1]INTERNAL_I2C_REGISTER_CONFIG[13]
1,0,1,0,1,0,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,2,0,0,1,1,0,1,0,1,1,0,0,0,0,1,0,1,1,0,0,1,1,1,1,1,0,1,0,1,1,0,1,1,0,1,2,2,2,1,0,1,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,1,1,0,1,1,0,0,1,1,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,1,1,0,0,1,1,1,1,1,0,1,0,1,1,0,1,1,0,1,2,2,2,0,1,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,1,1,0,1,1,0,0,1,1,0,0,0,1,1,1,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,1,0,1,0,1,1,0,0,0,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,1,2,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,2,2,2,1,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,2,2,2,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1,0,1,0,0,1,1,1,0,0,1,1,0,1,1,0,1,0,0,1,0,1,1,0,1,1,1,0,1,1,1,0,0,1,1,1,0,0,1,0,1,1,0,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,1,1,1,2,1,0,0,0,1,0,1,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,1,1,1,2,0,0,0,1,0,1,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,1,0,1,0,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,2,0,0,1,1,0,1,0,1,1,0,0,0,0,1,0,1,1,0,0,1,1,1,1,1,0,1,0,1,1,0,1,1,0,1,2,2,2,1,0,1,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,1,1,0,1,1,0,0,1,1,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,1,1,0,0,1,1,1,1,1,0,1,0,1,1,0,1,1,0,1,2,2,2,0,1,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,1,1,0,1,1,0,0,1,1,0,0,0,1,1,1,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2
0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1,1,0,1,0,1,0,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,1,0,0,1,1,1,0,0,1,1,0,1,1,0,1,0,0,1,0,1,1,0,1,1,1,0,1,1,1,0,0,1,1,1,0,0,1,0,1,1,0,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,1,1,1,2,1,0,0,0,1,0,1,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,1,1,1,2,0,0,0,1,0,1,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2
0,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,1,0,1,0,1,1,0,1,1,0,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1,1,0,1,0,1,0,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2
1,0,0,0,0,1,0,0,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,1,0,1,1,0,1,0,0,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,0,1,1,0,1,0,0,1,1,1,0,1,0,1,0,0,0,1,1,1,1,1,0,0,1,1,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,1,1,0,1,0,0,1,1,1,0,1,0,1,0,0,0,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,1,0,1,0,1,1,0,1,1,0,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2
0,1,0,0,0,1,1,1,0,1,0,1,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,1,1,0,1,0,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,1,1,1,1,0,1,1,0,1,0,0,0,0,1,1,1,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,1,1,1,1,0,1,1,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,0,0,0,1,0,0,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,1,0,1,1,0,1,0,0,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,0,1,1,0,1,0,0,1,1,1,0,1,0,1,0,0,0,1,1,1,1,1,0,0,1,1,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,1,1,0,1,0,0,1,1,1,0,1,0,1,0,0,0,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2
1,1,1,0,0,1,1,1,1,1,1,0,0,1,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,0,0,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0,0,1,1,1,0,1,1,1,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,1,0,1,0,1,0,0,0,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0,0,1,1,1,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,1,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,0,0,0,1,1,1,0,1,0,1,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,1,1,0,1,0,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,1,1,1,1,0,1,1,0,1,0,0,0,0,1,1,1,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,1,1,1,1,0,1,1,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2
0,1,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,1,0,0,1,1,1,1,0,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,1,1,0,1,0,0,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,0,0,1,1,1,1,1,1,0,0,1,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,0,0,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0,0,1,1,1,0,1,1,1,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,1,0,1,0,1,0,0,0,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0,0,1,1,1,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,1,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2
0,0,1,0,0,1,1,0,1,0,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,1,1,1,1,0,1,1,0,0,0,1,1,1,1,0,1,1,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0,1,1,0,0,0,1,1,1,1,0,1,1,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,1,1,1,0,0,1,1,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,1,0,0,1,1,1,1,0,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,1,1,0,1,0,0,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2
1,1,0,0,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,1,0,0,1,1,0,1,1,0,0,1,1,1,0,1,1,0,1,1,0,1,1,1,1,0,1,1,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,1,0,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1,0,1,1,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,1,0,1,1,1,1,1,1,0,0,1,1,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,1,0,0,1,1,0,1,0,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,1,1,1,1,0,1,1,0,0,0,1,1,1,1,0,1,1,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0,1,1,0,0,0,1,1,1,1,0,1,1,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,1,1,1,0,0,1,1,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2
