clk,req2,req1,gnt1,rst,state,gnt2,[1]clk,[1]req2,[1]req1,[1]gnt1,[1]rst,[1]state,[1]gnt2
0,1,1,1,0,0,0,0,1,0,0,0,0,1
0,1,1,0,0,1,1,0,1,1,1,0,0,0
0,0,1,1,0,0,0,0,1,1,0,0,1,1
0,1,1,0,0,1,1,0,0,1,1,0,0,0
0,1,0,0,0,0,1,0,1,1,0,0,1,1
0,0,1,1,0,0,0,0,1,0,0,0,0,1
0,0,1,1,0,1,0,0,0,1,1,0,0,0
0,0,1,1,0,1,0,0,0,1,1,0,1,0
0,1,1,0,0,1,1,0,0,1,1,0,1,0
0,0,0,0,0,0,0,0,1,0,0,0,0,1
0,1,0,0,0,0,1,0,0,0,0,0,0,0
0,1,0,0,0,0,1,0,1,0,0,0,0,1
0,0,1,1,0,1,0,0,1,1,1,0,0,0
0,0,0,0,0,1,0,0,0,1,1,0,1,0
0,1,0,0,0,0,1,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,1,1,0,0,1,1
0,1,1,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,1,1,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,1,1,0,0,1,1,0,0,0
0,0,1,1,0,0,0,0,1,0,0,0,1,1
0,0,0,0,0,1,0,0,0,1,1,0,0,0
0,1,1,1,0,0,0,0,1,0,0,0,1,1
0,0,0,0,0,1,0,0,1,1,1,0,0,0
0,1,1,1,0,0,0,0,0,0,0,0,1,0
0,1,0,0,0,1,1,0,1,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,0,0,0,0,0,0,0,0,1,0
0,1,0,0,0,0,1,0,1,0,0,0,1,1
0,0,0,0,0,0,0,0,1,0,0,0,1,1
0,1,1,1,0,0,0,0,1,1,0,0,1,1
0,1,0,0,0,1,1,0,0,1,1,0,1,0
