auto_baud_locked_o,clk_i,baud_clk_o,mid_bit_count,enable_clock_count,serial_dat_i,reset_i,main_count_rollover,verify_done,baud_count_rollover,clock_count_rollover,baud_count[0],baud_count[1],baud_count[2],baud_count[3],baud_count[4],baud_count[5],baud_count[6],baud_count[7],baud_count[8],baud_count[9],baud_count[10],baud_count[11],baud_count[12],baud_count[13],baud_count[14],baud_count[15],baud[0],baud[1],baud[2],baud[3],baud[4],baud[5],baud[6],baud[7],baud[8],baud[9],baud[10],baud[11],baud[12],baud[13],baud[14],baud[15],clear_counters,character_miscompare,idle,clock_count[0],clock_count[1],clock_count[2],clock_count[3],m1_state[0],m1_state[1],m1_state[2],m1_state[3],m1_next_state[0],m1_next_state[1],m1_next_state[2],m1_next_state[3],measure,main_count[0],main_count[1],main_count[2],main_count[3],main_count[4],main_count[5],main_count[6],main_count[7],main_count[8],main_count[9],main_count[10],main_count[11],main_count[12],main_count[13],main_count[14],main_count[15],run,measurement[0],measurement[1],measurement[2],measurement[3],measurement[4],measurement[5],measurement[6],measurement[7],measurement[8],measurement[9],measurement[10],measurement[11],measurement[12],measurement[13],measurement[14],measurement[15],verify,target_bits[0],target_bits[1],target_bits[2],target_bits[3],target_bits[4],target_bits[5],target_bits[6],target_bits[7],target_bits[8],verify_good,[1]auto_baud_locked_o,[1]clk_i,[1]baud_clk_o,[1]mid_bit_count,[1]enable_clock_count,[1]serial_dat_i,[1]reset_i,[1]main_count_rollover,[1]verify_done,[1]baud_count_rollover,[1]clock_count_rollover,[1]baud_count[0],[1]baud_count[1],[1]baud_count[2],[1]baud_count[3],[1]baud_count[4],[1]baud_count[5],[1]baud_count[6],[1]baud_count[7],[1]baud_count[8],[1]baud_count[9],[1]baud_count[10],[1]baud_count[11],[1]baud_count[12],[1]baud_count[13],[1]baud_count[14],[1]baud_count[15],[1]baud[0],[1]baud[1],[1]baud[2],[1]baud[3],[1]baud[4],[1]baud[5],[1]baud[6],[1]baud[7],[1]baud[8],[1]baud[9],[1]baud[10],[1]baud[11],[1]baud[12],[1]baud[13],[1]baud[14],[1]baud[15],[1]clear_counters,[1]character_miscompare,[1]idle,[1]clock_count[0],[1]clock_count[1],[1]clock_count[2],[1]clock_count[3],[1]m1_state[0],[1]m1_state[1],[1]m1_state[2],[1]m1_state[3],[1]m1_next_state[0],[1]m1_next_state[1],[1]m1_next_state[2],[1]m1_next_state[3],[1]measure,[1]main_count[0],[1]main_count[1],[1]main_count[2],[1]main_count[3],[1]main_count[4],[1]main_count[5],[1]main_count[6],[1]main_count[7],[1]main_count[8],[1]main_count[9],[1]main_count[10],[1]main_count[11],[1]main_count[12],[1]main_count[13],[1]main_count[14],[1]main_count[15],[1]run,[1]measurement[0],[1]measurement[1],[1]measurement[2],[1]measurement[3],[1]measurement[4],[1]measurement[5],[1]measurement[6],[1]measurement[7],[1]measurement[8],[1]measurement[9],[1]measurement[10],[1]measurement[11],[1]measurement[12],[1]measurement[13],[1]measurement[14],[1]measurement[15],[1]verify,[1]target_bits[0],[1]target_bits[1],[1]target_bits[2],[1]target_bits[3],[1]target_bits[4],[1]target_bits[5],[1]target_bits[6],[1]target_bits[7],[1]target_bits[8],[1]verify_good
0,0,0,0,1,1,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,2,2,1,2,2,2,1,2,2,2,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,2,2,2,0,2,2,2,1,2,2,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,2,0
0,0,0,0,1,1,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,2,2,2,1,2,2,2,1,2,2,2,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,2,2,1,2,2,2,1,2,2,2,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,2,0
0,0,0,0,1,1,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,2,2,1,2,2,2,1,2,2,2,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,2,2,2,1,2,2,2,1,2,2,2,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,2,0
0,0,0,1,1,1,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,2,2,1,2,2,2,0,2,2,2,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,2,2,1,2,2,2,1,2,2,2,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,2,0
0,0,0,0,0,1,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,2,0,2,2,2,0,2,2,2,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,2,0,0,0,0,1,1,1,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,2,2,1,2,2,2,0,2,2,2,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,2,0
0,0,0,0,0,1,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,2,0,2,2,2,0,2,2,2,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,2,0,2,2,2,0,2,2,2,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,2,0
0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,2,0,2,2,2,1,2,2,2,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,2,0,2,2,2,0,2,2,2,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,2,0
0,0,0,0,1,1,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,2,1,2,2,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,2,0,2,2,2,1,2,2,2,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,2,0
0,0,0,0,1,1,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,2,1,2,2,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,2,1,2,2,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,2,0
0,0,0,0,1,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,2,1,2,2,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,2,1,2,2,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,2,0
