clk,load,en,reset,value[0],value[1],value[2],value[3],value[4],value[5],value[6],value[7],[1]clk,[1]load,[1]en,[1]reset,[1]value[0],[1]value[1],[1]value[2],[1]value[3],[1]value[4],[1]value[5],[1]value[6],[1]value[7],[2]clk,[2]load,[2]en,[2]reset,[2]value[0],[2]value[1],[2]value[2],[2]value[3],[2]value[4],[2]value[5],[2]value[6],[2]value[7],[3]clk,[3]load,[3]en,[3]reset,[3]value[0],[3]value[1],[3]value[2],[3]value[3],[3]value[4],[3]value[5],[3]value[6],[3]value[7]
0,1,0,0,0,2,2,2,2,2,2,2,0,1,1,0,0,2,2,2,2,2,2,2,0,1,1,0,1,2,2,2,2,2,2,2,0,0,1,0,0,2,2,2,2,2,2,2
0,1,1,0,0,2,2,2,2,2,2,2,0,1,0,0,0,2,2,2,2,2,2,2,0,1,1,0,0,2,2,2,2,2,2,2,0,1,1,0,1,2,2,2,2,2,2,2
0,0,1,0,0,2,2,2,2,2,2,2,0,1,1,0,0,2,2,2,2,2,2,2,0,1,0,0,0,2,2,2,2,2,2,2,0,1,1,0,0,2,2,2,2,2,2,2
0,1,0,0,1,2,2,2,2,2,2,2,0,0,1,0,0,2,2,2,2,2,2,2,0,1,1,0,0,2,2,2,2,2,2,2,0,1,0,0,0,2,2,2,2,2,2,2
0,1,0,0,0,2,2,2,2,2,2,2,0,1,0,0,1,2,2,2,2,2,2,2,0,0,1,0,0,2,2,2,2,2,2,2,0,1,1,0,0,2,2,2,2,2,2,2
0,1,0,0,0,2,2,2,2,2,2,2,0,1,0,0,0,2,2,2,2,2,2,2,0,1,0,0,1,2,2,2,2,2,2,2,0,0,1,0,0,2,2,2,2,2,2,2
0,1,1,0,0,2,2,2,2,2,2,2,0,1,0,0,0,2,2,2,2,2,2,2,0,1,0,0,0,2,2,2,2,2,2,2,0,1,0,0,1,2,2,2,2,2,2,2
0,0,1,0,0,2,2,2,2,2,2,2,0,1,1,0,0,2,2,2,2,2,2,2,0,1,0,0,0,2,2,2,2,2,2,2,0,1,0,0,0,2,2,2,2,2,2,2
0,0,0,0,1,2,2,2,2,2,2,2,0,0,1,0,0,2,2,2,2,2,2,2,0,1,1,0,0,2,2,2,2,2,2,2,0,1,0,0,0,2,2,2,2,2,2,2
0,0,1,0,1,2,2,2,2,2,2,2,0,0,0,0,1,2,2,2,2,2,2,2,0,0,1,0,0,2,2,2,2,2,2,2,0,1,1,0,0,2,2,2,2,2,2,2
0,0,1,0,0,1,2,2,2,2,2,2,0,0,1,0,1,2,2,2,2,2,2,2,0,0,0,0,1,2,2,2,2,2,2,2,0,0,1,0,0,2,2,2,2,2,2,2
0,1,1,0,1,1,2,2,2,2,2,2,0,0,1,0,0,1,2,2,2,2,2,2,0,0,1,0,1,2,2,2,2,2,2,2,0,0,0,0,1,2,2,2,2,2,2,2
0,1,0,0,0,1,2,2,2,2,2,2,0,1,1,0,1,1,2,2,2,2,2,2,0,0,1,0,0,1,2,2,2,2,2,2,0,0,1,0,1,2,2,2,2,2,2,2
