HRESP,rev_out_type,reset_chain,crc_init_en,crc_poly_en,crc_idr_en,buffer_write_en,HREADYOUT,DEFAULT_CLOCK,HCLK,HRESETn,HREADY,HSElx,buffer_full,HWRITE,reset_pending,read_wait,HRDATA[0],HRDATA[1],HRDATA[2],HRDATA[3],HRDATA[4],HRDATA[5],HRDATA[6],HRDATA[7],HRDATA[8],HRDATA[9],HRDATA[10],HRDATA[11],HRDATA[12],HRDATA[13],HRDATA[14],HRDATA[15],HRDATA[16],HRDATA[17],HRDATA[18],HRDATA[19],HRDATA[20],HRDATA[21],HRDATA[22],HRDATA[23],HRDATA[24],HRDATA[25],HRDATA[26],HRDATA[27],HRDATA[28],HRDATA[29],HRDATA[30],HRDATA[31],HADDR[0],HADDR[1],HADDR[2],HADDR[3],HADDR[4],HADDR[5],HADDR[6],HADDR[7],HADDR[8],HADDR[9],HADDR[10],HADDR[11],HADDR[12],HADDR[13],HADDR[14],HADDR[15],HADDR[16],HADDR[17],HADDR[18],HADDR[19],HADDR[20],HADDR[21],HADDR[22],HADDR[23],HADDR[24],HADDR[25],HADDR[26],HADDR[27],HADDR[28],HADDR[29],HADDR[30],HADDR[31],HTRANS[0],HTRANS[1],HSIZE[0],HSIZE[1],HSIZE[2],buffer_read_en,HWDATA[0],HWDATA[1],HWDATA[2],HWDATA[3],HWDATA[4],HWDATA[5],HWDATA[6],HWDATA[7],HWDATA[8],HWDATA[9],HWDATA[10],HWDATA[11],HWDATA[12],HWDATA[13],HWDATA[14],HWDATA[15],HWDATA[16],HWDATA[17],HWDATA[18],HWDATA[19],HWDATA[20],HWDATA[21],HWDATA[22],HWDATA[23],HWDATA[24],HWDATA[25],HWDATA[26],HWDATA[27],HWDATA[28],HWDATA[29],HWDATA[30],HWDATA[31],crc_cr_en,bus_wr[0],bus_wr[1],bus_wr[2],bus_wr[3],bus_wr[4],bus_wr[5],bus_wr[6],bus_wr[7],bus_wr[8],bus_wr[9],bus_wr[10],bus_wr[11],bus_wr[12],bus_wr[13],bus_wr[14],bus_wr[15],bus_wr[16],bus_wr[17],bus_wr[18],bus_wr[19],bus_wr[20],bus_wr[21],bus_wr[22],bus_wr[23],bus_wr[24],bus_wr[25],bus_wr[26],bus_wr[27],bus_wr[28],bus_wr[29],bus_wr[30],bus_wr[31],crc_init_out[0],crc_init_out[1],crc_init_out[2],crc_init_out[3],crc_init_out[4],crc_init_out[5],crc_init_out[6],crc_init_out[7],crc_init_out[8],crc_init_out[9],crc_init_out[10],crc_init_out[11],crc_init_out[12],crc_init_out[13],crc_init_out[14],crc_init_out[15],crc_init_out[16],crc_init_out[17],crc_init_out[18],crc_init_out[19],crc_init_out[20],crc_init_out[21],crc_init_out[22],crc_init_out[23],crc_init_out[24],crc_init_out[25],crc_init_out[26],crc_init_out[27],crc_init_out[28],crc_init_out[29],crc_init_out[30],crc_init_out[31],crc_idr_out[0],crc_idr_out[1],crc_idr_out[2],crc_idr_out[3],crc_idr_out[4],crc_idr_out[5],crc_idr_out[6],crc_idr_out[7],crc_poly_out[0],crc_poly_out[1],crc_poly_out[2],crc_poly_out[3],crc_poly_out[4],crc_poly_out[5],crc_poly_out[6],crc_poly_out[7],crc_poly_out[8],crc_poly_out[9],crc_poly_out[10],crc_poly_out[11],crc_poly_out[12],crc_poly_out[13],crc_poly_out[14],crc_poly_out[15],crc_poly_out[16],crc_poly_out[17],crc_poly_out[18],crc_poly_out[19],crc_poly_out[20],crc_poly_out[21],crc_poly_out[22],crc_poly_out[23],crc_poly_out[24],crc_poly_out[25],crc_poly_out[26],crc_poly_out[27],crc_poly_out[28],crc_poly_out[29],crc_poly_out[30],crc_poly_out[31],crc_out[0],crc_out[1],crc_out[2],crc_out[3],crc_out[4],crc_out[5],crc_out[6],crc_out[7],crc_out[8],crc_out[9],crc_out[10],crc_out[11],crc_out[12],crc_out[13],crc_out[14],crc_out[15],crc_out[16],crc_out[17],crc_out[18],crc_out[19],crc_out[20],crc_out[21],crc_out[22],crc_out[23],crc_out[24],crc_out[25],crc_out[26],crc_out[27],crc_out[28],crc_out[29],crc_out[30],crc_out[31],sample_bus,read_en,rev_in_type[0],rev_in_type[1],write_en,crc_poly_sel,crc_poly_size[0],crc_poly_size[1],crc_idr_sel,crc_init_sel,crc_cr_sel,crc_dr_sel,bus_size[0],bus_size[1],crc_cr_rd[0],crc_cr_rd[1],crc_cr_rd[2],crc_cr_rd[3],crc_cr_rd[4],crc_cr_rd[5],crc_cr_rd[6],crc_cr_rd[7],crc_cr_rd[8],crc_cr_rd[9],crc_cr_rd[10],crc_cr_rd[11],crc_cr_rd[12],crc_cr_rd[13],crc_cr_rd[14],crc_cr_rd[15],crc_cr_rd[16],crc_cr_rd[17],crc_cr_rd[18],crc_cr_rd[19],crc_cr_rd[20],crc_cr_rd[21],crc_cr_rd[22],crc_cr_rd[23],crc_cr_rd[24],crc_cr_rd[25],crc_cr_rd[26],crc_cr_rd[27],crc_cr_rd[28],crc_cr_rd[29],crc_cr_rd[30],crc_cr_rd[31],ahb_enable,crc_cr_ff[0],crc_cr_ff[1],crc_cr_ff[2],crc_cr_ff[3],crc_cr_ff[4],hselx_pp,haddr_pp[0],haddr_pp[1],haddr_pp[2],htrans_pp[0],htrans_pp[1],hsize_pp[0],hsize_pp[1],hsize_pp[2],hwrite_pp
0,2,2,2,2,2,2,2,0,0,1,1,0,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,0,2,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,2,1,1,2,2,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,1,2,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,1,1,0,1,1,1,1,0,0,1,0,1,1,0,0,1,1,1,0,1,1,0,0,0,1,0,1,1,1,1,2,2,2,0,1,1,0,0,0,1,1,1,0,1,1,0,0,0,0,1,1,0,1,1,1,1,0,1,0,0,1,1,1,0,1,0,1,1,2,2,2,2,2,1,0,1,1,0,0,0,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
0,2,0,2,2,2,2,2,0,0,1,0,1,1,1,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,0,2,0,0,1,1,1,0,0,1,1,0,1,1,0,1,0,0,1,0,1,1,0,1,1,1,0,1,1,1,0,0,1,1,1,1,2,1,1,1,2,0,1,0,0,1,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,1,1,2,0,1,0,0,1,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,1,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,1,1,0,1,1,0,1,1,0,0,1,1,0,1,1,1,1,1,1,0,0,0,1,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
0,2,2,2,2,2,2,2,0,0,1,0,1,1,1,0,1,2,2,2,2,2,2,2,2,0,2,2,2,2,2,0,2,2,2,2,0,2,2,2,2,2,2,2,2,2,0,2,0,1,1,0,0,1,0,1,0,0,1,1,0,1,0,1,1,1,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,0,2,1,0,1,2,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1,0,0,0,1,1,0,1,0,1,0,1,1,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,1,0,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
0,2,0,2,2,2,2,2,0,0,1,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,0,2,2,0,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0,2,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,1,2,0,0,0,1,1,1,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,2,0,0,0,1,1,1,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,1,1,0,1,0,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,1,1,0,1,1,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
0,2,2,2,2,2,2,2,0,1,1,1,1,0,0,1,0,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0,2,2,2,0,2,2,2,2,2,2,0,2,0,1,0,0,1,1,0,1,1,1,1,0,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1,1,0,1,1,1,1,1,0,1,1,2,1,0,0,0,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,1,1,0,1,1,0,0,0,1,1,1,1,1,2,1,0,0,0,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,1,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
0,2,0,2,2,2,2,2,0,1,1,1,0,0,0,1,0,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,0,2,2,2,0,2,2,2,2,2,2,0,2,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,1,1,1,0,1,1,1,1,1,0,1,1,2,0,1,1,0,1,0,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,1,2,0,1,1,0,1,0,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,1,1,0,1,1,1,1,0,0,1,0,1,1,0,1,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,1,0,1,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
0,2,2,2,2,2,2,2,0,0,1,1,0,0,0,1,0,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,0,0,1,0,1,0,1,0,0,1,1,1,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,1,1,1,1,1,1,0,1,1,2,1,1,1,1,1,1,0,0,0,1,1,1,0,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,2,1,1,1,1,1,1,0,0,0,1,1,1,0,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,0,0,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,0,0,1,1,1,1,0,0,0,1,0,1,1,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,1,1,0,1,1,0,1,1,1,1,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
0,2,0,2,2,2,2,2,0,0,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,0,0,1,0,1,1,0,1,0,1,1,0,1,1,0,1,1,0,0,0,1,0,1,0,0,1,0,1,1,0,1,1,1,1,1,0,0,1,2,0,1,1,0,0,1,1,1,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,1,1,1,2,0,1,1,0,0,1,1,1,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,1,1,1,1,0,1,0,0,1,1,0,0,1,1,0,1,1,0,1,1,1,1,1,1,0,0,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1,1,0,1,1,0,0,1,1,0,1,1,0,0,1,1,0,1,0,0,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
0,2,2,2,2,2,2,2,0,1,1,0,0,0,0,1,0,0,2,2,2,2,2,2,2,2,0,2,2,2,2,0,2,2,2,2,2,2,2,2,0,2,2,2,2,0,2,2,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,0,1,0,1,1,2,1,0,1,1,1,1,1,1,0,1,0,0,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,2,1,0,1,1,1,1,1,1,0,1,0,0,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,0,1,0,1,1,0,1,1,1,0,1,0,0,1,1,1,0,1,1,1,0,1,0,1,1,0,0,1,0,0,1,1,1,1,0,1,0,1,1,1,1,0,1,0,1,0,1,1,0,0,1,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
0,2,2,2,2,2,2,1,0,0,1,1,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,0,1,0,1,1,0,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,1,0,1,1,0,1,0,1,1,1,1,2,1,0,0,1,1,0,1,1,1,1,1,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,1,1,1,2,1,0,0,1,1,0,1,1,1,1,1,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,1,1,1,1,0,1,0,1,0,0,1,1,0,0,0,1,1,1,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,0,1,0,1,1,0,1,1,0,1,0,0,1,1,1,0,1,1,0,1,1,1,1,0,1,1,0,0,1,0,0,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
