MAC_Addr[0],MAC_Addr[1],MAC_Addr[2],MAC_Addr[3],MAC_Addr[4],MAC_Addr[5],MAC_Addr[6],MAC_Addr[7],MAC_Addr[8],MAC_Addr[9],MAC_Addr[10],MAC_Addr[11],MAC_Addr[12],MAC_Addr[13],MAC_Addr[14],MAC_Addr[15],MAC_Addr[16],MAC_Addr[17],MAC_Addr[18],MAC_Addr[19],MAC_Addr[20],MAC_Addr[21],MAC_Addr[22],MAC_Addr[23],MAC_Addr[24],MAC_Addr[25],MAC_Addr[26],MAC_Addr[27],MAC_Addr[28],MAC_Addr[29],MAC_Addr[30],MAC_Addr[31],MAC_Addr[32],MAC_Addr[33],MAC_Addr[34],MAC_Addr[35],MAC_Addr[36],MAC_Addr[37],MAC_Addr[38],MAC_Addr[39],MAC_Addr[40],MAC_Addr[41],MAC_Addr[42],MAC_Addr[43],MAC_Addr[44],MAC_Addr[45],MAC_Addr[46],MAC_Addr[47],local_invalid,da_addr[0],da_addr[1],da_addr[2],da_addr[3],da_addr[4],da_addr[5],da_addr[6],da_addr[7],da_addr[8],da_addr[9],da_addr[10],da_addr[11],da_addr[12],da_addr[13],da_addr[14],da_addr[15],da_addr[16],da_addr[17],da_addr[18],da_addr[19],da_addr[20],da_addr[21],da_addr[22],da_addr[23],da_addr[24],da_addr[25],da_addr[26],da_addr[27],da_addr[28],da_addr[29],da_addr[30],da_addr[31],da_addr[32],da_addr[33],da_addr[34],da_addr[35],da_addr[36],da_addr[37],da_addr[38],da_addr[39],da_addr[40],da_addr[41],da_addr[42],da_addr[43],da_addr[44],da_addr[45],da_addr[46],da_addr[47],rxclk,reset,broad_valid,multi_valid,local_valid,[1]MAC_Addr[0],[1]MAC_Addr[1],[1]MAC_Addr[2],[1]MAC_Addr[3],[1]MAC_Addr[4],[1]MAC_Addr[5],[1]MAC_Addr[6],[1]MAC_Addr[7],[1]MAC_Addr[8],[1]MAC_Addr[9],[1]MAC_Addr[10],[1]MAC_Addr[11],[1]MAC_Addr[12],[1]MAC_Addr[13],[1]MAC_Addr[14],[1]MAC_Addr[15],[1]MAC_Addr[16],[1]MAC_Addr[17],[1]MAC_Addr[18],[1]MAC_Addr[19],[1]MAC_Addr[20],[1]MAC_Addr[21],[1]MAC_Addr[22],[1]MAC_Addr[23],[1]MAC_Addr[24],[1]MAC_Addr[25],[1]MAC_Addr[26],[1]MAC_Addr[27],[1]MAC_Addr[28],[1]MAC_Addr[29],[1]MAC_Addr[30],[1]MAC_Addr[31],[1]MAC_Addr[32],[1]MAC_Addr[33],[1]MAC_Addr[34],[1]MAC_Addr[35],[1]MAC_Addr[36],[1]MAC_Addr[37],[1]MAC_Addr[38],[1]MAC_Addr[39],[1]MAC_Addr[40],[1]MAC_Addr[41],[1]MAC_Addr[42],[1]MAC_Addr[43],[1]MAC_Addr[44],[1]MAC_Addr[45],[1]MAC_Addr[46],[1]MAC_Addr[47],[1]local_invalid,[1]da_addr[0],[1]da_addr[1],[1]da_addr[2],[1]da_addr[3],[1]da_addr[4],[1]da_addr[5],[1]da_addr[6],[1]da_addr[7],[1]da_addr[8],[1]da_addr[9],[1]da_addr[10],[1]da_addr[11],[1]da_addr[12],[1]da_addr[13],[1]da_addr[14],[1]da_addr[15],[1]da_addr[16],[1]da_addr[17],[1]da_addr[18],[1]da_addr[19],[1]da_addr[20],[1]da_addr[21],[1]da_addr[22],[1]da_addr[23],[1]da_addr[24],[1]da_addr[25],[1]da_addr[26],[1]da_addr[27],[1]da_addr[28],[1]da_addr[29],[1]da_addr[30],[1]da_addr[31],[1]da_addr[32],[1]da_addr[33],[1]da_addr[34],[1]da_addr[35],[1]da_addr[36],[1]da_addr[37],[1]da_addr[38],[1]da_addr[39],[1]da_addr[40],[1]da_addr[41],[1]da_addr[42],[1]da_addr[43],[1]da_addr[44],[1]da_addr[45],[1]da_addr[46],[1]da_addr[47],[1]rxclk,[1]reset,[1]broad_valid,[1]multi_valid,[1]local_valid
1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
1,0,1,1,0,0,0,0,1,1,0,1,1,1,1,0,1,0,0,1,1,1,0,1,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,1,1,1,1,0,1,0,0,1,1,1,0,1,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,0,1,1,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1,0,1,1,0,0,1,1,1,1,1,0,1,0,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
0,1,1,0,1,1,1,0,1,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,1,0,1,1,0,0,1,1,1,0,1,1,0,0,0,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,0,1,1,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1,0,1,1,0,0,1,1,1,1,1,0,1,0,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
1,0,1,1,0,1,1,1,1,1,1,0,1,0,1,0,0,0,1,0,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,1,0,1,1,0,0,1,1,1,0,1,1,0,0,0,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
1,0,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,1,1,0,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,1,0,1,0,1,0,0,0,1,0,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,1,1,1,0,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,1,1,0,0,1,0,0,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,1,1,0,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
1,0,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,0,0,1,1,1,0,0,1,0,0,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,1,1,1,0,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,1,1,0,0,1,0,0,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
0,1,0,0,1,0,0,0,0,1,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,0,1,1,0,1,1,0,0,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,0,0,1,1,1,0,0,1,0,0,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
