check_reset,crc_check_valid,crc_check_invalid,get_sfd,get_error_code,length_error,get_terminator,receiving,local_invalid,reset,recv_enable,start_lt,rxclk,start_da,good_frame_get,bad_frame_get,rxstate[0],rxstate[1],rxstate[2],rxstate[3],rxstate[4],receiving_d1,wait_crc_check,rxstate_next[0],rxstate_next[1],rxstate_next[2],rxstate_next[3],rxstate_next[4],[1]check_reset,[1]crc_check_valid,[1]crc_check_invalid,[1]get_sfd,[1]get_error_code,[1]length_error,[1]get_terminator,[1]receiving,[1]local_invalid,[1]reset,[1]recv_enable,[1]start_lt,[1]rxclk,[1]start_da,[1]good_frame_get,[1]bad_frame_get,[1]rxstate[0],[1]rxstate[1],[1]rxstate[2],[1]rxstate[3],[1]rxstate[4],[1]receiving_d1,[1]wait_crc_check,[1]rxstate_next[0],[1]rxstate_next[1],[1]rxstate_next[2],[1]rxstate_next[3],[1]rxstate_next[4]
0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,2,2,2,2,0,0,0,2,2,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,2,2,2,2
0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,2,2,2,2,0,0,0,2,2,2,2,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,2,2,2,2,0,0,0,2,2,2,2
1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,2,2,2,2,0,0,0,2,2,2,2,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,2,2,2,2,0,0,0,2,2,2,2
1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,2,2,2,2,0,0,0,2,2,2,2,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,2,2,2,2,0,0,0,2,2,2,2
0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,2,2,2,2,0,0,0,2,2,2,2,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,2,2,2,2,0,0,0,2,2,2,2
1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,2,2,2,2,0,0,0,2,2,2,2,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,2,2,2,2,0,0,0,2,2,2,2
1,0,0,1,1,1,1,0,1,0,1,0,0,0,0,1,0,2,2,2,2,0,0,1,2,2,2,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,2,2,2,2,0,0,0,2,2,2,2
1,1,0,1,1,1,0,1,0,0,0,0,0,1,0,1,1,2,2,2,2,0,0,0,1,2,2,2,1,0,0,1,1,1,1,0,1,0,1,0,0,0,0,1,0,2,2,2,2,0,0,1,2,2,2,2
0,0,1,0,1,0,1,1,0,0,1,1,0,0,0,1,0,1,2,2,2,1,0,0,0,1,2,2,1,1,0,1,1,1,0,1,0,0,0,0,0,1,0,1,1,2,2,2,2,0,0,0,1,2,2,2
1,1,1,1,0,0,1,1,1,0,1,0,0,0,0,1,0,0,1,2,2,1,0,0,0,0,1,2,0,0,1,0,1,0,1,1,0,0,1,1,0,0,0,1,0,1,2,2,2,1,0,0,0,1,2,2
0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,2,1,0,0,0,0,1,2,1,1,1,1,0,0,1,1,1,0,1,0,0,0,0,1,0,0,1,2,2,1,0,0,0,0,1,2
1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,1,2,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,2,1,0,0,0,0,1,2
1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,2,0,0,1,0,0,1,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,1,2
1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,1,2,0,0,0,1,0,1,2,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,2,0,0,1,0,0,1,2
0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,1,0,1,0,1,2,1,0,0,0,1,1,2,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,1,2,0,0,0,1,0,1,2
0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,1,2,1,0,0,0,0,1,2,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,1,0,1,0,1,2,1,0,0,0,1,1,2
0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,1,0,0,0,0,1,2,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,1,2,1,0,0,0,0,1,2
0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,1,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,1,0,0,0,0,1,2
0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,1,2,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,1,2
1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,1,2
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,1,2,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,1,2
1,1,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,2,0,0,1,0,0,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,1,2
1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,1,1,0,0,1,2,0,0,0,1,0,1,2,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,2,0,0,1,0,0,1,2
1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,2,1,0,0,0,1,1,2,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,1,1,0,0,1,2,0,0,0,1,0,1,2
