DEFAULT_CLOCK,data_i[0],data_i[1],data_i[2],data_i[3],data_o[0],data_o[1],data_o[2],data_o[3]
0,0,0,1,2,1,0,0,1
0,1,0,1,2,1,0,1,1
0,1,0,0,1,0,1,1,1
0,1,1,0,1,1,1,0,1
0,1,0,1,1,1,1,1,1
0,1,0,1,1,0,1,1,1
0,0,1,1,1,0,1,1,1
0,1,1,1,1,1,0,1,1
0,0,1,1,1,0,1,0,1
0,0,0,1,1,0,0,1,1
0,1,0,1,1,0,1,0,1
0,0,1,0,1,1,1,1,1
0,1,1,1,1,0,1,1,1
0,0,1,1,1,1,1,1,1
0,0,0,0,1,1,1,1,1
0,1,1,1,1,1,1,0,1
0,0,1,0,1,0,0,1,1
0,1,1,0,1,0,0,0,1
0,1,0,1,1,0,0,0,1
0,1,1,0,1,1,0,1,1
0,0,1,1,1,1,1,0,1
0,1,0,1,1,0,0,1,1
0,1,0,1,1,1,0,1,1
0,0,1,0,1,0,1,1,1
0,0,0,0,1,0,0,1,1
0,0,0,0,1,1,1,0,1
0,1,1,1,1,0,1,0,1
0,0,0,1,1,1,0,0,1
0,0,1,1,1,1,0,0,1
0,0,1,1,1,1,0,1,1
0,0,1,1,1,0,0,1,1
0,1,0,0,1,1,0,1,1
