clk,reset,dOut[0],dOut[1],dOut[2],dOut[3],dOut[4],dOut[5],dOut[6],dOut[7],sTick,rx,bReg[0],bReg[1],bReg[2],bReg[3],bReg[4],bReg[5],bReg[6],bReg[7],bNext[0],bNext[1],bNext[2],bNext[3],bNext[4],bNext[5],bNext[6],bNext[7],nReg[0],nReg[1],nReg[2],nNext[0],nNext[1],nNext[2],sNext[0],sNext[1],sNext[2],sNext[3],rxDoneTick,stateNext[0],stateNext[1],sReg[0],sReg[1],sReg[2],sReg[3],stateReg[0],stateReg[1],[1]clk,[1]reset,[1]dOut[0],[1]dOut[1],[1]dOut[2],[1]dOut[3],[1]dOut[4],[1]dOut[5],[1]dOut[6],[1]dOut[7],[1]sTick,[1]rx,[1]bReg[0],[1]bReg[1],[1]bReg[2],[1]bReg[3],[1]bReg[4],[1]bReg[5],[1]bReg[6],[1]bReg[7],[1]bNext[0],[1]bNext[1],[1]bNext[2],[1]bNext[3],[1]bNext[4],[1]bNext[5],[1]bNext[6],[1]bNext[7],[1]nReg[0],[1]nReg[1],[1]nReg[2],[1]nNext[0],[1]nNext[1],[1]nNext[2],[1]sNext[0],[1]sNext[1],[1]sNext[2],[1]sNext[3],[1]rxDoneTick,[1]stateNext[0],[1]stateNext[1],[1]sReg[0],[1]sReg[1],[1]sReg[2],[1]sReg[3],[1]stateReg[0],[1]stateReg[1]
0,0,0,2,2,2,2,2,2,2,1,1,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0,2,2,0,2,2,1,2,2,2,0,1,2,0,2,2,2,1,2,0,0,0,2,2,2,2,2,2,2,1,0,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0,2,2,0,2,2,0,2,2,2,0,1,2,0,2,2,2,0,2
0,0,0,2,2,2,2,2,2,2,1,1,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0,2,2,0,2,2,0,1,2,2,0,1,2,1,2,2,2,1,2,0,0,0,2,2,2,2,2,2,2,1,1,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0,2,2,0,2,2,1,2,2,2,0,1,2,0,2,2,2,1,2
0,0,0,2,2,2,2,2,2,2,0,1,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0,2,2,0,2,2,0,1,2,2,0,1,2,0,1,2,2,1,2,0,0,0,2,2,2,2,2,2,2,1,1,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0,2,2,0,2,2,0,1,2,2,0,1,2,1,2,2,2,1,2
0,0,0,2,2,2,2,2,2,2,1,1,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0,2,2,0,2,2,1,1,2,2,0,1,2,0,1,2,2,1,2,0,0,0,2,2,2,2,2,2,2,0,1,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0,2,2,0,2,2,0,1,2,2,0,1,2,0,1,2,2,1,2
0,0,0,2,2,2,2,2,2,2,1,0,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0,2,2,0,2,2,0,0,1,2,0,1,2,1,1,2,2,1,2,0,0,0,2,2,2,2,2,2,2,1,1,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0,2,2,0,2,2,1,1,2,2,0,1,2,0,1,2,2,1,2
0,0,0,2,2,2,2,2,2,2,0,1,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0,2,2,0,2,2,0,0,1,2,0,1,2,0,0,1,2,1,2,0,0,0,2,2,2,2,2,2,2,1,0,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0,2,2,0,2,2,0,0,1,2,0,1,2,1,1,2,2,1,2
0,0,0,2,2,2,2,2,2,2,0,1,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0,2,2,0,2,2,0,0,1,2,0,1,2,0,0,1,2,1,2,0,0,0,2,2,2,2,2,2,2,0,1,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0,2,2,0,2,2,0,0,1,2,0,1,2,0,0,1,2,1,2
0,0,0,2,2,2,2,2,2,2,1,1,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0,2,2,0,2,2,1,0,1,2,0,1,2,0,0,1,2,1,2,0,0,0,2,2,2,2,2,2,2,0,1,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0,2,2,0,2,2,0,0,1,2,0,1,2,0,0,1,2,1,2
0,0,0,2,2,2,2,2,2,2,1,0,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0,2,2,0,2,2,0,1,1,2,0,1,2,1,0,1,2,1,2,0,0,0,2,2,2,2,2,2,2,1,1,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0,2,2,0,2,2,1,0,1,2,0,1,2,0,0,1,2,1,2
0,0,0,2,2,2,2,2,2,2,0,0,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0,2,2,0,2,2,0,1,1,2,0,1,2,0,1,1,2,1,2,0,0,0,2,2,2,2,2,2,2,1,0,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0,2,2,0,2,2,0,1,1,2,0,1,2,1,0,1,2,1,2
