verilog design,No of assertions from HARM,No of assertions proved
fht_1d_x8.v,597,133
fht_8x8_core.v,11341,684
fht_bfly.v,969,237
fht_bfly_noFF.v,17847,4308
mtx_trps_8x8_dpsram.v,1873,934
signed_mult_const_asic.v,397,142
signed_mult_const_fpga.v,373,83
accumulatorMUX.v,20993,1610
bitNegator.v,50,6
ramBit.v,554,103
byteNegator.v,7801,2057
ramByte.v,3570,482
inputReg.v,401,117
outputReg.v,501,114
ppReg1.v,3008,483
tcLoad.v,12696,985
tcReset.v,1296,1044
uartRec.v,7119,2893
uartTrans.v,3876,1948
host_interface_aes.v,31968,1636
key_expander.v,7795,925
cavlc_fsm.v,5603,1196
cavlc_len_gen.v,4682,559
cavlc_read_levels.v,4819,667
cavlc_read_total_coeffs.v,34454,2025
cavlc_read_total_zeros.v,13024,1646
ca_prng.v,3065,504
mux4to1.v,3028,326
PSGBusArb.v,1221,57
PSGChannelSummer.v,4996,614
PSGFilter.v,4431,659
PSGMasterVolumeControl.v,18809,2558
PSGOutputSummer.v,3432,606
PSGShaper.v,3664,531
bit_reversal.v,1012,176
crc_comb.v,15332,1553
crc_control_unit.v,592,312
host_interface.v,16035,1300
fpu_exceptions.v,4887,436
fpu_sub.v,5026,254
qadd.v,5811,833
qmult.v,10320,1633
qtwosComp.v,1168,745
dff_3_pipe.v,2382,482
dual_port_ram.v,1901,447
node.v,6854,844
dpll.v,24,6
freqdivider.v,5,0
variableresetrandomwalkfilter.v,22,6
clean_rst.v,6,4
decoder_8b10b.v,22158,1065
encoder_8b10b.v,19955,1129
ge_1000baseX_mdio.v,1014,220
ge_1000baseX_rx.v,15689,1340
ge_1000baseX_sync.v,6526,668
eth_cop.v,2068,197
eth_crc.v,346,71
eth_l3_checksum.v,1714,343
eth_random.v,11991,1662
eth_receivecontrol.v,5126,321
eth_rxaddrcheck.v,6008,723
eth_transmitcontrol.v,4299,221
eth_txcounters.v,4586,371
eth_clockgen.v,4216,1744
eth_miim.v,32024,2247
eth_outputcontrol.v,1284,119
eth_shiftreg.v,8934,725
flow_ctrl.v,6051,503
MAC_rx_ctrl.v,23377,2205
Phy_sim.v,3405,692
Ramdon_gen.v,4684,948
reg_int_sim.v,1752,235
RMON_addr_gen.v,29363,3104
RMON_ctrl.v,16288,1105
ack_counter.v,3026,826
counter.v,194,37
rxClkgen.v,30,9
rxLinkFaultState.v,585,148
rxNumCounter.v,226,21
rxStateMachine.v,1542,294
rxStatModule.v,2930,245
apb.v,7566,1282
can_btl.v,9456,705
can_crc.v,1251,206
can_fifo.v,13807,827
can_ibo.v,1056,333
can_register_asyn.v,1467,318
can_register_asyn_syn.v,1551,305
can_register.v,1371,318
can_register_syn.v,1501,305
can_acf.v,33457,1659
eth_fifo.v,660,80
Phy_int.v,23342,1176
fpu_add.v,1880,170
control_unit.v,1469,578
phasecomparator.v,16,1
wptr_handler.v,310,55
rptr_handler.v,252,137
synchronizer.v,84,49
fifo_mem.v,5395,484
MAC_tx_Ctrl.v,42738,6816
